"Prenoèitvene zmogljivosti po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, LETO , MERITVE"

" ";" ";" ";"Število objektov";"Število sob";"Zmogljivosti - ležišèa - SKUPAJ";"Zmogljivosti - ležišèa - stalna"
"SLOVENIJA"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";"Penzioni"
" ";" ";"2008";5;55;123;118
" ";" ";"2009";4;44;98;95
" ";" ";"2010";4;44;98;95
" ";" ";"2011";4;48;108;101
" ";" ";"2012";4;51;114;107
" ";" ";"2013";4;46;104;96
" ";" ";"2014";4;46;104;96
" ";" ";"2015";3;39;84;77
" ";" ";"2016";4;55;119;112
" ";" ";"2017";4;55;119;112
" ";"Gostišèa"
" ";" ";"2008";5;63;122;122
" ";" ";"2009";4;58;112;112
" ";" ";"2010";4;58;113;110
" ";" ";"2011";4;57;112;108
" ";" ";"2012";3;22;42;42
" ";" ";"2013";4;34;72;72
" ";" ";"2014";3;27;58;58
" ";" ";"2015";5;58;146;144
" ";" ";"2016";5;59;153;143
" ";" ";"2017";5;49;115;105
" ";"Prenoèišèa"
" ";" ";"2008";11;108;344;335
" ";" ";"2009";14;137;424;414
" ";" ";"2010";7;55;146;137
" ";" ";"2011";8;73;175;167
" ";" ";"2012";8;93;221;209
" ";" ";"2013";9;107;253;239
" ";" ";"2014";11;123;271;257
" ";" ";"2015";11;132;287;273
" ";" ";"2016";11;131;253;252
" ";" ";"2017";11;143;316;315
" ";"Apartmajska in poèitniška naselja"
" ";" ";"2008";3;17;52;39
" ";" ";"2009";1;17;51;37
" ";" ";"2010";-;-;-;-
" ";" ";"2011";-;-;-;-
" ";" ";"2012";-;-;-;-
" ";" ";"2013";-;-;-;-
" ";" ";"2014";-;-;-;-
" ";" ";"2015";-;-;-;-
" ";" ";"2016";-;-;-;-
" ";" ";"2017";-;-;-;-
" ";"Kampi"
" ";" ";"2008";1;300;600;600
" ";" ";"2009";1;300;600;600
" ";" ";"2010";1;300;600;600
" ";" ";"2011";1;364;600;600
" ";" ";"2012";1;300;600;600
" ";" ";"2013";1;174;522;522
" ";" ";"2014";1;174;522;522
" ";" ";"2015";2;186;584;572
" ";" ";"2016";2;186;584;572
" ";" ";"2017";2;186;596;572
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"2008";2;6;12;11
" ";" ";"2009";2;6;12;11
" ";" ";"2010";2;15;28;27
" ";" ";"2011";2;15;28;27
" ";" ";"2012";4;35;64;63
" ";" ";"2013";4;20;46;38
" ";" ";"2014";5;38;81;71
" ";" ";"2015";4;23;55;44
" ";" ";"2016";4;23;53;44
" ";" ";"2017";4;12;36;27
" ";"Mladinski hoteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";4;59;232;232
" ";" ";"2011";5;63;267;266
" ";" ";"2012";8;115;408;360
" ";" ";"2013";10;151;594;534
" ";" ";"2014";11;162;634;607
" ";" ";"2015";13;194;771;734
" ";" ";"2016";15;207;821;783
" ";" ";"2017";16;212;845;804
" ";"Zasebne sobe, apartmaji, hiše"
" ";" ";"2008";...;165;543;432
" ";" ";"2009";...;190;631;513
" ";" ";"2010";...;233;746;616
" ";" ";"2011";...;230;781;645
" ";" ";"2012";...;212;640;558
" ";" ";"2013";...;238;684;609
" ";" ";"2014";...;269;800;685
" ";" ";"2015";...;291;906;781
" ";" ";"2016";...;436;1338;1105
" ";" ";"2017";...;589;1930;1616
" ";"Planinski domovi in koèe"
" ";" ";"2008";2;9;63;43
" ";" ";"2009";2;9;63;43
" ";" ";"2010";2;9;63;55
" ";" ";"2011";1;5;30;30
" ";" ";"2012";1;5;30;30
" ";" ";"2013";-;-;-;-
" ";" ";"2014";-;-;-;-
" ";" ";"2015";-;-;-;-
" ";" ";"2016";-;-;-;-
" ";" ";"2017";-;-;-;-
" ";"Delavski poèit.domovi in apartmaji, otroški in mladinski poèitniški domovi"
" ";" ";"2008";...;6;31;21
" ";" ";"2009";...;6;31;21
" ";" ";"2010";...;6;31;21
" ";" ";"2011";-;-;-;-
" ";" ";"2012";...;-;-;-
" ";" ";"2013";...;-;-;-
" ";" ";"2014";...;-;-;-
" ";" ";"2015";...;-;-;-
" ";" ";"2016";...;-;-;-
" ";" ";"2017";...;-;-;-
" ";"Drugi nastanitveni objekti"
" ";" ";"2008";2;7;16;16
" ";" ";"2009";2;7;16;16
" ";" ";"2010";1;4;8;8
" ";" ";"2011";1;4;8;8
" ";" ";"2012";1;4;8;8
" ";" ";"2013";1;4;8;8
" ";" ";"2014";1;4;8;8
" ";" ";"2015";1;4;8;8
" ";" ";"2016";2;16;32;32
" ";" ";"2017";2;16;32;32
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";7;635;1582;1582
" ";" ";"2009";7;626;1536;1536
" ";" ";"2010";9;971;2262;2242
" ";" ";"2011";7;788;2121;2121
" ";" ";"2012";7;786;1921;1921
" ";" ";"2013";7;692;1914;1914
" ";" ";"2014";9;721;1997;1997
" ";" ";"2015";9;734;2023;2023
" ";" ";"2016";9;740;2032;2032
" ";" ";"2017";7;678;1833;1833
"Mestne obèine"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;3143;6835;6535
" ";" ";"2009";...;3261;7046;6739
" ";" ";"2010";...;3510;8001;7558
" ";" ";"2011";...;3780;8760;8363
" ";" ";"2012";...;4073;10104;9669
" ";" ";"2013";...;4016;9561;9101
" ";" ";"2014";...;4193;9964;9521
" ";" ";"2015";...;4396;10356;9903
" ";" ";"2016";...;4284;10131;9646
" ";" ";"2017";...;4342;10320;9791
" ";"Hoteli"
" ";" ";"2008";37;1918;3701;3560
" ";" ";"2009";37;2007;3759;3618
" ";" ";"2010";39;1972;3973;3737
" ";" ";"2011";43;2111;4275;4049
" ";" ";"2012";42;2095;4267;4028
" ";" ";"2013";44;2140;4367;4103
" ";" ";"2014";43;2127;4320;4075
" ";" ";"2015";44;2150;4384;4128
" ";" ";"2016";43;2113;4313;4046
" ";" ";"2017";46;2210;4532;4235
" ";"Moteli"
" ";" ";"2008";2;51;109;109
" ";" ";"2009";2;51;109;109
" ";" ";"2010";2;51;105;105
" ";" ";"2011";2;51;105;105
" ";" ";"2012";1;21;40;40
" ";" ";"2013";1;21;40;40
" ";" ";"2014";1;21;40;40
" ";" ";"2015";1;21;40;40
" ";" ";"2016";1;21;40;40
" ";" ";"2017";1;20;42;42
" ";"Penzioni"
" ";" ";"2008";8;112;286;256
" ";" ";"2009";7;97;211;181
" ";" ";"2010";7;92;216;186
" ";" ";"2011";7;89;208;178
" ";" ";"2012";7;92;208;178
" ";" ";"2013";7;89;201;170
" ";" ";"2014";7;89;201;170
" ";" ";"2015";8;101;220;192
" ";" ";"2016";7;89;194;168
" ";" ";"2017";7;89;194;168
" ";"Gostišèa"
" ";" ";"2008";17;148;327;313
" ";" ";"2009";18;153;338;324
" ";" ";"2010";16;156;338;314
" ";" ";"2011";16;160;350;326
" ";" ";"2012";19;189;444;394
" ";" ";"2013";18;188;439;388
" ";" ";"2014";15;148;350;312
" ";" ";"2015";19;171;404;359
" ";" ";"2016";18;165;398;346
" ";" ";"2017";18;161;383;337
" ";"Prenoèišèa"
" ";" ";"2008";17;152;379;361
" ";" ";"2009";19;142;425;407
" ";" ";"2010";16;120;292;277
" ";" ";"2011";16;169;403;391
" ";" ";"2012";19;207;530;517
" ";" ";"2013";16;200;486;477
" ";" ";"2014";15;337;721;702
" ";" ";"2015";14;309;637;623
" ";" ";"2016";11;225;519;510
" ";" ";"2017";11;201;474;467
" ";"Apartmajska in poèitniška naselja"
" ";" ";"2008";1;8;18;18
" ";" ";"2009";2;9;24;24
" ";" ";"2010";-;-;-;-
" ";" ";"2011";1;8;18;18
" ";" ";"2012";1;21;88;72
" ";" ";"2013";1;21;88;72
" ";" ";"2014";1;21;88;72
" ";" ";"2015";1;21;88;72
" ";" ";"2016";1;21;85;75
" ";" ";"2017";1;21;85;75
" ";"Kampi"
" ";" ";"2008";5;160;500;500
" ";" ";"2009";5;160;500;500
" ";" ";"2010";6;164;610;610
" ";" ";"2011";5;150;540;540
" ";" ";"2012";7;305;1440;1440
" ";" ";"2013";6;262;968;968
" ";" ";"2014";7;317;1198;1198
" ";" ";"2015";8;384;1304;1304
" ";" ";"2016";8;397;1231;1231
" ";" ";"2017";8;369;1158;1158
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"2008";17;106;261;226
" ";" ";"2009";17;107;267;227
" ";" ";"2010";19;110;263;230
" ";" ";"2011";21;106;281;247
" ";" ";"2012";21;103;277;249
" ";" ";"2013";23;106;297;264
" ";" ";"2014";22;98;276;242
" ";" ";"2015";21;96;291;252
" ";" ";"2016";21;95;287;248
" ";" ";"2017";20;90;268;235
" ";"Mladinski hoteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";3;28;135;131
" ";" ";"2011";4;37;141;137
" ";" ";"2012";5;66;250;232
" ";" ";"2013";6;69;260;242
" ";" ";"2014";5;72;258;243
" ";" ";"2015";7;106;344;329
" ";" ";"2016";10;151;492;459
" ";" ";"2017";10;149;531;499
" ";"Zasebne sobe, apartmaji, hiše"
" ";" ";"2008";...;122;337;309
" ";" ";"2009";...;129;358;326
" ";" ";"2010";...;138;377;333
" ";" ";"2011";...;117;363;322
" ";" ";"2012";...;120;379;340
" ";" ";"2013";...;103;326;290
" ";" ";"2014";...;121;380;337
" ";" ";"2015";...;105;356;318
" ";" ";"2016";...;138;444;397
" ";" ";"2017";...;155;525;449
" ";"Planinski domovi in koèe"
" ";" ";"2008";4;26;121;116
" ";" ";"2009";4;26;121;116
" ";" ";"2010";5;41;186;184
" ";" ";"2011";7;52;278;277
" ";" ";"2012";8;71;317;315
" ";" ";"2013";7;61;249;247
" ";" ";"2014";7;60;251;249
" ";" ";"2015";6;52;210;208
" ";" ";"2016";7;58;245;243
" ";" ";"2017";7;59;245;243
" ";"Delavski poèit.domovi in apartmaji, otroški in mladinski poèitniški domovi"
" ";" ";"2008";...;6;34;34
" ";" ";"2009";...;6;34;34
" ";" ";"2010";...;6;34;34
" ";" ";"2011";...;6;34;34
" ";" ";"2012";...;5;26;26
" ";" ";"2013";...;5;26;26
" ";" ";"2014";...;10;66;66
" ";" ";"2015";...;10;66;66
" ";" ";"2016";...;5;26;26
" ";" ";"2017";...;6;26;26
" ";"Drugi nastanitveni objekti"
" ";" ";"2008";2;27;129;104
" ";" ";"2009";3;44;211;186
" ";" ";"2010";3;37;201;176
" ";" ";"2011";2;27;129;104
" ";" ";"2012";-;-;-;-
" ";" ";"2013";-;-;-;-
" ";" ";"2014";-;-;-;-
" ";" ";"2015";1;4;16;16
" ";" ";"2016";2;26;38;38
" ";" ";"2017";2;26;38;38
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";11;307;633;629
" ";" ";"2009";10;330;689;687
" ";" ";"2010";9;595;1271;1241
" ";" ";"2011";9;697;1635;1635
" ";" ";"2012";9;778;1838;1838
" ";" ";"2013";9;751;1814;1814
" ";" ";"2014";9;772;1815;1815
" ";" ";"2015";9;866;1996;1996
" ";" ";"2016";8;780;1819;1819
" ";" ";"2017";8;786;1819;1819
"Druge obèine"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;5294;14830;13896
" ";" ";"2009";...;5601;15650;14640
" ";" ";"2010";...;6114;17267;16157
" ";" ";"2011";...;6019;16981;15908
" ";" ";"2012";...;5878;16665;15670
" ";" ";"2013";...;5766;16697;15634
" ";" ";"2014";...;5936;17079;16027
" ";" ";"2015";...;6113;17674;16532
" ";" ";"2016";...;6457;18902;17693
" ";" ";"2017";...;6583;19897;18591
" ";"Hoteli"
" ";" ";"2008";46;1461;3201;2959
" ";" ";"2009";48;1606;3511;3269
" ";" ";"2010";51;1634;3546;3278
" ";" ";"2011";53;1670;3669;3379
" ";" ";"2012";49;1473;3288;3025
" ";" ";"2013";46;1379;3122;2827
" ";" ";"2014";48;1422;3189;2904
" ";" ";"2015";48;1413;3202;2904
" ";" ";"2016";56;1646;3844;3475
" ";" ";"2017";54;1621;3762;3422
" ";"Moteli"
" ";" ";"2008";5;116;248;234
" ";" ";"2009";5;116;248;234
" ";" ";"2010";5;89;199;199
" ";" ";"2011";4;53;128;128
" ";" ";"2012";3;43;97;97
" ";" ";"2013";2;33;73;73
" ";" ";"2014";2;33;73;73
" ";" ";"2015";2;33;74;74
" ";" ";"2016";4;52;146;146
" ";" ";"2017";4;52;146;146
" ";"Penzioni"
" ";" ";"2008";20;214;531;469
" ";" ";"2009";21;220;555;492
" ";" ";"2010";19;190;458;405
" ";" ";"2011";19;174;399;375
" ";" ";"2012";17;167;383;359
" ";" ";"2013";16;150;345;327
" ";" ";"2014";15;134;322;303
" ";" ";"2015";18;158;389;375
" ";" ";"2016";21;180;452;436
" ";" ";"2017";20;174;438;422
" ";"Gostišèa"
" ";" ";"2008";84;652;1591;1487
" ";" ";"2009";84;644;1549;1431
" ";" ";"2010";83;648;1546;1439
" ";" ";"2011";81;653;1545;1423
" ";" ";"2012";79;648;1508;1411
" ";" ";"2013";79;642;1502;1383
" ";" ";"2014";81;638;1496;1399
" ";" ";"2015";95;718;1705;1589
" ";" ";"2016";94;712;1706;1567
" ";" ";"2017";92;704;1720;1593
" ";"Prenoèišèa"
" ";" ";"2008";36;239;667;619
" ";" ";"2009";38;247;689;635
" ";" ";"2010";36;196;511;454
" ";" ";"2011";39;192;519;464
" ";" ";"2012";32;178;483;434
" ";" ";"2013";33;176;484;434
" ";" ";"2014";38;242;644;573
" ";" ";"2015";34;215;563;488
" ";" ";"2016";30;219;568;489
" ";" ";"2017";32;239;635;562
" ";"Apartmajska in poèitniška naselja"
" ";" ";"2008";7;41;200;127
" ";" ";"2009";8;38;198;127
" ";" ";"2010";5;333;775;709
" ";" ";"2011";3;321;727;675
" ";" ";"2012";1;300;600;600
" ";" ";"2013";1;300;600;600
" ";" ";"2014";1;300;600;600
" ";" ";"2015";1;300;600;600
" ";" ";"2016";1;300;600;600
" ";" ";"2017";1;300;600;600
" ";"Kampi"
" ";" ";"2008";19;1146;3316;3298
" ";" ";"2009";19;1139;3296;3278
" ";" ";"2010";17;996;2986;2986
" ";" ";"2011";18;1023;3073;3071
" ";" ";"2012";19;1096;3200;3200
" ";" ";"2013";21;1029;3139;3135
" ";" ";"2014";20;1065;3250;3250
" ";" ";"2015";23;1179;3618;3618
" ";" ";"2016";24;1214;3850;3850
" ";" ";"2017";27;1272;4382;4335
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"2008";122;596;1759;1596
" ";" ";"2009";135;653;1926;1750
" ";" ";"2010";157;826;2363;2164
" ";" ";"2011";158;796;2351;2132
" ";" ";"2012";167;831;2491;2246
" ";" ";"2013";168;838;2513;2277
" ";" ";"2014";182;913;2765;2515
" ";" ";"2015";179;894;2789;2488
" ";" ";"2016";173;841;2586;2362
" ";" ";"2017";181;846;2657;2403
" ";"Mladinski hoteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";-;-;-;-
" ";" ";"2011";4;31;155;146
" ";" ";"2012";7;67;286;253
" ";" ";"2013";8;73;313;281
" ";" ";"2014";9;83;340;309
" ";" ";"2015";10;100;364;340
" ";" ";"2016";13;140;532;513
" ";" ";"2017";15;169;632;613
" ";"Zasebne sobe, apartmaji, hiše"
" ";" ";"2008";...;407;1168;1076
" ";" ";"2009";...;492;1402;1289
" ";" ";"2010";...;532;1655;1485
" ";" ";"2011";...;523;1587;1435
" ";" ";"2012";...;555;1742;1559
" ";" ";"2013";...;561;1764;1568
" ";" ";"2014";...;557;1787;1571
" ";" ";"2015";...;535;1720;1487
" ";" ";"2016";...;558;1932;1646
" ";" ";"2017";...;686;2474;2099
" ";"Planinski domovi in koèe"
" ";" ";"2008";32;156;996;907
" ";" ";"2009";35;174;1104;1012
" ";" ";"2010";43;229;1501;1388
" ";" ";"2011";39;217;1348;1274
" ";" ";"2012";37;189;1227;1155
" ";" ";"2013";42;214;1352;1269
" ";" ";"2014";40;207;1243;1183
" ";" ";"2015";39;203;1254;1198
" ";" ";"2016";39;203;1164;1115
" ";" ";"2017";41;207;1187;1138
" ";"Delavski poèit.domovi in apartmaji, otroški in mladinski poèitniški domovi"
" ";" ";"2008";...;159;754;752
" ";" ";"2009";...;155;754;732
" ";" ";"2010";...;162;793;771
" ";" ";"2011";...;167;800;776
" ";" ";"2012";...;165;800;776
" ";" ";"2013";...;183;894;870
" ";" ";"2014";...;171;834;812
" ";" ";"2015";...;155;742;718
" ";" ";"2016";...;163;796;770
" ";" ";"2017";...;148;714;708
" ";"Drugi nastanitveni objekti"
" ";" ";"2008";15;69;257;252
" ";" ";"2009";17;79;276;271
" ";" ";"2010";15;71;258;253
" ";" ";"2011";13;47;180;180
" ";" ";"2012";13;47;179;174
" ";" ";"2013";15;64;211;205
" ";" ";"2014";15;51;160;159
" ";" ";"2015";15;90;278;277
" ";" ";"2016";16;107;408;407
" ";" ";"2017";15;112;394;394
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";4;38;142;120
" ";" ";"2009";4;38;142;120
" ";" ";"2010";4;208;676;626
" ";" ";"2011";5;152;500;450
" ";" ";"2012";3;119;381;381
" ";" ";"2013";3;124;385;385
" ";" ";"2014";3;120;376;376
" ";" ";"2015";3;120;376;376
" ";" ";"2016";2;122;318;317
" ";" ";"2017";3;53;156;156

"Vir: Statistièni urad Republike Slovenije "
" "
"Letni podatki o obsegu turistiènega prometa niso enaki seštevku "
"meseènih podatkov, saj vkljuèujejo tudi turistiène nastanitvene "
"objekte, ki razpolagajo z manj kot 10 stalnimi ležišèi. Glej "
"Metodološka pojasnila."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7779 target=_blank) Metodološka pojasnila "

