"Prenoèitvene zmogljivosti po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, LETO , MERITVE"

" ";" ";" ";"Število objektov";"Število sob";"Zmogljivosti - ležišèa - SKUPAJ";"Zmogljivosti - ležišèa - stalna"
"SLOVENIJA"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2014";30;186;570;554
" ";" ";"2015";33;229;654;629
" ";" ";"2016";37;312;920;910
" ";" ";"2017";37;330;941;906
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";33;1666;4651;4515
" ";" ";"2009";32;1675;4667;4533
" ";" ";"2010";32;2442;6476;6211
" ";" ";"2011";32;2340;6635;6475
" ";" ";"2012";30;2397;6517;6407
" ";" ";"2013";30;2307;6696;6546
" ";" ";"2014";32;2361;6691;6574
" ";" ";"2015";32;2474;6895;6857
" ";" ";"2016";30;2362;6411;6379
" ";" ";"2017";29;2266;6192;6088
"Zdraviliške obèine"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;8428;20910;19090
" ";" ";"2009";...;8408;21001;19194
" ";" ";"2010";...;8429;21777;19779
" ";" ";"2011";...;8731;22335;20296
" ";" ";"2012";...;8628;21845;19879
" ";" ";"2013";...;8778;22399;20291
" ";" ";"2014";...;8700;22232;20189
" ";" ";"2015";...;8753;22316;20272
" ";" ";"2016";...;8818;22436;20391
" ";" ";"2017";...;8829;22536;20468
" ";"Hoteli"
" ";" ";"2008";62;5018;10161;9210
" ";" ";"2009";61;4940;10022;9072
" ";" ";"2010";65;5077;10841;9810
" ";" ";"2011";67;5296;11115;10025
" ";" ";"2012";63;5212;10786;9770
" ";" ";"2013";62;5320;11033;9994
" ";" ";"2014";65;5230;10850;9860
" ";" ";"2015";66;5245;10877;9889
" ";" ";"2016";70;5258;10910;9909
" ";" ";"2017";69;5323;11157;10078
" ";"Moteli"
" ";" ";"2008";2;21;43;43
" ";" ";"2009";2;21;43;43
" ";" ";"2010";2;21;43;43
" ";" ";"2011";2;21;43;43
" ";" ";"2012";2;19;42;42
" ";" ";"2013";3;29;68;68
" ";" ";"2014";2;17;48;48
" ";" ";"2015";2;19;48;48
" ";" ";"2016";2;19;48;48
" ";" ";"2017";2;19;48;48
" ";"Penzioni"
" ";" ";"2008";12;178;514;429
" ";" ";"2009";13;191;563;462
" ";" ";"2010";11;154;460;364
" ";" ";"2011";9;131;394;309
" ";" ";"2012";8;105;327;249
" ";" ";"2013";8;105;324;249
" ";" ";"2014";8;103;313;237
" ";" ";"2015";8;101;304;224
" ";" ";"2016";9;112;339;271
" ";" ";"2017";9;115;345;277
" ";"Gostišèa"
" ";" ";"2008";11;115;297;288
" ";" ";"2009";11;115;297;289
" ";" ";"2010";10;84;221;202
" ";" ";"2011";11;94;247;224
" ";" ";"2012";11;95;240;221
" ";" ";"2013";11;94;242;220
" ";" ";"2014";13;107;265;246
" ";" ";"2015";14;113;279;260
" ";" ";"2016";14;112;280;259
" ";" ";"2017";15;117;305;273
" ";"Prenoèišèa"
" ";" ";"2008";9;70;162;146
" ";" ";"2009";9;75;168;150
" ";" ";"2010";10;100;219;203
" ";" ";"2011";9;99;213;199
" ";" ";"2012";10;106;223;209
" ";" ";"2013";12;110;267;252
" ";" ";"2014";8;96;233;222
" ";" ";"2015";9;103;262;250
" ";" ";"2016";9;101;250;237
" ";" ";"2017";11;107;266;250
" ";"Apartmajska in poèitniška naselja"
" ";" ";"2008";24;775;2820;2340
" ";" ";"2009";20;850;3122;2599
" ";" ";"2010";17;813;3018;2605
" ";" ";"2011";18;850;3153;2734
" ";" ";"2012";18;852;3162;2753
" ";" ";"2013";15;843;3108;2707
" ";" ";"2014";15;855;3141;2742
" ";" ";"2015";15;867;3165;2776
" ";" ";"2016";17;954;3325;2937
" ";" ";"2017";17;918;3173;2861
" ";"Kampi"
" ";" ";"2008";7;1410;4137;4112
" ";" ";"2009";7;1410;4137;4112
" ";" ";"2010";7;1350;4237;4072
" ";" ";"2011";8;1390;4317;4152
" ";" ";"2012";7;1360;4197;4032
" ";" ";"2013";8;1393;4420;4160
" ";" ";"2014";7;1410;4388;4128
" ";" ";"2015";7;1410;4388;4128
" ";" ";"2016";7;1410;4388;4128
" ";" ";"2017";7;1410;4388;4128
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"2008";28;129;380;334
" ";" ";"2009";31;127;371;345
" ";" ";"2010";34;147;435;376
" ";" ";"2011";34;156;466;414
" ";" ";"2012";32;142;439;385
" ";" ";"2013";35;155;488;408
" ";" ";"2014";30;136;427;349
" ";" ";"2015";26;135;399;331
" ";" ";"2016";27;139;409;341
" ";" ";"2017";28;144;435;374
" ";"Mladinski hoteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";4;42;141;115
" ";" ";"2011";6;59;183;156
" ";" ";"2012";5;51;166;143
" ";" ";"2013";4;47;153;132
" ";" ";"2014";4;47;154;132
" ";" ";"2015";4;47;154;132
" ";" ";"2016";3;35;130;109
" ";" ";"2017";2;30;106;85
" ";"Zasebne sobe, apartmaji, hiše"
" ";" ";"2008";...;408;1344;1160
" ";" ";"2009";...;384;1262;1130
" ";" ";"2010";...;396;1282;1131
" ";" ";"2011";...;357;1148;999
" ";" ";"2012";...;393;1227;1045
" ";" ";"2013";...;396;1237;1056
" ";" ";"2014";...;373;1201;1031
" ";" ";"2015";...;421;1365;1176
" ";" ";"2016";...;396;1293;1097
" ";" ";"2017";...;373;1297;1086
" ";"Planinski domovi in koèe"
" ";" ";"2008";6;38;182;182
" ";" ";"2009";5;33;175;175
" ";" ";"2010";3;20;95;95
" ";" ";"2011";3;28;149;149
" ";" ";"2012";3;29;135;133
" ";" ";"2013";3;31;159;157
" ";" ";"2014";3;31;159;157
" ";" ";"2015";3;29;159;157
" ";" ";"2016";3;29;156;154
" ";" ";"2017";3;29;156;154
" ";"Delavski poèit.domovi in apartmaji, otroški in mladinski poèitniški domovi"
" ";" ";"2008";...;127;571;551
" ";" ";"2009";...;130;552;532
" ";" ";"2010";...;132;578;560
" ";" ";"2011";...;128;573;562
" ";" ";"2012";...;137;602;598
" ";" ";"2013";...;118;569;565
" ";" ";"2014";...;121;575;567
" ";" ";"2015";...;128;603;595
" ";" ";"2016";...;131;625;620
" ";" ";"2017";...;121;572;567
" ";"Drugi nastanitveni objekti"
" ";" ";"2008";3;20;45;41
" ";" ";"2009";3;19;43;39
" ";" ";"2010";3;19;43;39
" ";" ";"2011";2;15;36;32
" ";" ";"2012";2;8;20;20
" ";" ";"2013";3;18;52;44
" ";" ";"2014";4;43;152;144
" ";" ";"2015";4;20;59;52
" ";" ";"2016";3;7;28;26
" ";" ";"2017";4;8;33;32
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";3;119;254;254
" ";" ";"2009";3;113;246;246
" ";" ";"2010";2;74;164;164
" ";" ";"2011";3;107;298;298
" ";" ";"2012";3;119;279;279
" ";" ";"2013";3;119;279;279
" ";" ";"2014";3;131;326;326
" ";" ";"2015";3;115;254;254
" ";" ";"2016";3;115;255;255
" ";" ";"2017";3;115;255;255
"Gorske obèine"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;11349;35471;32512
" ";" ";"2009";...;11375;35605;32523
" ";" ";"2010";...;11795;38636;35394
" ";" ";"2011";...;11580;38028;34858
" ";" ";"2012";...;11820;39311;35921
" ";" ";"2013";...;11876;39516;36155
" ";" ";"2014";...;11813;39851;36325
" ";" ";"2015";...;12108;41556;37970
" ";" ";"2016";...;12617;43222;39558
" ";" ";"2017";...;12996;45199;41325
" ";"Hoteli"
" ";" ";"2008";66;3493;8296;7369
" ";" ";"2009";68;3625;8492;7483
" ";" ";"2010";68;3569;8322;7445
" ";" ";"2011";67;3524;8298;7460
" ";" ";"2012";70;3623;8639;7783
" ";" ";"2013";70;3620;8570;7718
" ";" ";"2014";71;3501;8483;7554
" ";" ";"2015";77;3590;8728;7823
" ";" ";"2016";81;3614;8913;7938
" ";" ";"2017";81;3647;9124;7985
" ";"Moteli"
" ";" ";"2008";2;25;60;52
" ";" ";"2009";2;25;60;48
" ";" ";"2010";2;24;53;45
" ";" ";"2011";2;24;52;44
" ";" ";"2012";2;24;52;44
" ";" ";"2013";2;19;43;33
" ";" ";"2014";2;20;47;35
" ";" ";"2015";2;19;43;33
" ";" ";"2016";2;17;56;40
" ";" ";"2017";2;22;72;58
" ";"Penzioni"
" ";" ";"2008";53;651;1740;1622
" ";" ";"2009";52;608;1611;1495
" ";" ";"2010";52;596;1564;1431
" ";" ";"2011";49;569;1540;1391
" ";" ";"2012";46;537;1466;1341
" ";" ";"2013";46;525;1424;1262
" ";" ";"2014";44;492;1335;1195
" ";" ";"2015";46;525;1374;1241
" ";" ";"2016";45;504;1262;1179
" ";" ";"2017";46;508;1291;1200
" ";"Gostišèa"
" ";" ";"2008";55;486;1302;1240
" ";" ";"2009";55;447;1191;1123
" ";" ";"2010";52;433;1144;1096
" ";" ";"2011";51;455;1194;1145
" ";" ";"2012";50;438;1170;1102
" ";" ";"2013";46;408;1007;956
" ";" ";"2014";46;351;881;827
" ";" ";"2015";50;381;968;901
" ";" ";"2016";50;368;922;865
" ";" ";"2017";47;360;894;841
" ";"Prenoèišèa"
" ";" ";"2008";17;146;399;372
" ";" ";"2009";17;148;404;378
" ";" ";"2010";14;77;209;182
" ";" ";"2011";11;69;170;151
" ";" ";"2012";16;102;255;233
" ";" ";"2013";18;152;357;326
" ";" ";"2014";17;156;409;384
" ";" ";"2015";15;98;294;274
" ";" ";"2016";15;59;160;140
" ";" ";"2017";16;72;204;179
" ";"Apartmajska in poèitniška naselja"
" ";" ";"2008";25;327;1161;901
" ";" ";"2009";23;324;1206;955
" ";" ";"2010";15;284;1204;907
" ";" ";"2011";16;304;1230;930
" ";" ";"2012";14;305;1284;971
" ";" ";"2013";9;245;1042;938
" ";" ";"2014";9;252;1102;978
" ";" ";"2015";10;240;975;868
" ";" ";"2016";13;285;1153;1030
" ";" ";"2017";14;263;1058;956
" ";"Kampi"
" ";" ";"2008";25;2302;6421;6411
" ";" ";"2009";24;2197;5955;5945
" ";" ";"2010";26;2547;8350;8330
" ";" ";"2011";27;2569;8225;8225
" ";" ";"2012";27;2488;8310;8307
" ";" ";"2013";31;2566;8734;8691
" ";" ";"2014";33;2651;9000;8957
" ";" ";"2015";34;2699;9328;9192
" ";" ";"2016";34;2906;10119;10079
" ";" ";"2017";34;2935;10927;10827
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"2008";61;317;893;803
" ";" ";"2009";71;363;1088;969
" ";" ";"2010";85;393;1198;1054
" ";" ";"2011";89;398;1244;1075
" ";" ";"2012";92;418;1312;1140
" ";" ";"2013";96;460;1456;1268
" ";" ";"2014";99;449;1374;1200
" ";" ";"2015";92;453;1428;1254
" ";" ";"2016";99;502;1613;1407
" ";" ";"2017";102;540;1685;1474
" ";"Mladinski hoteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";5;93;293;281
" ";" ";"2011";7;102;344;332
" ";" ";"2012";8;107;364;350
" ";" ";"2013";9;117;430;391
" ";" ";"2014";12;136;518;476
" ";" ";"2015";16;166;656;599
" ";" ";"2016";26;254;1059;998
" ";" ";"2017";29;338;1144;1081
" ";"Zasebne sobe, apartmaji, hiše"
" ";" ";"2008";...;1740;6026;5288
" ";" ";"2009";...;1769;6338;5590
" ";" ";"2010";...;1957;7137;6186
" ";" ";"2011";...;1922;7245;6189
" ";" ";"2012";...;2153;8158;6944
" ";" ";"2013";...;2100;8083;6781
" ";" ";"2014";...;2187;8474;7071
" ";" ";"2015";...;2266;9361;7870
" ";" ";"2016";...;2416;9598;8000
" ";" ";"2017";...;2614;10516;8797
" ";"Planinski domovi in koèe"
" ";" ";"2008";89;809;5159;4864
" ";" ";"2009";93;847;5314;4973
" ";" ";"2010";98;853;5348;5067
" ";" ";"2011";93;824;5205;4972
" ";" ";"2012";92;823;5047;4792
" ";" ";"2013";95;854;5108;4858
" ";" ";"2014";94;823;4976;4726
" ";" ";"2015";94;835;5052;4798
" ";" ";"2016";97;850;5122;4841
" ";" ";"2017";98;850;5012;4877
" ";"Delavski poèit.domovi in apartmaji, otroški in mladinski poèitniški domovi"
" ";" ";"2008";...;951;3631;3320
" ";" ";"2009";...;922;3568;3299
" ";" ";"2010";...;891;3489;3158
" ";" ";"2011";...;770;3013;2797
" ";" ";"2012";...;748;2980;2753
" ";" ";"2013";...;751;3002;2786
" ";" ";"2014";...;719;2922;2705
" ";" ";"2015";...;738;2979;2762
" ";" ";"2016";...;699;2865;2666
" ";" ";"2017";...;705;2900;2695
" ";"Drugi nastanitveni objekti"
" ";" ";"2008";12;91;241;238
" ";" ";"2009";12;89;236;233
" ";" ";"2010";9;67;183;180
" ";" ";"2011";7;39;126;115
" ";" ";"2012";8;43;132;129
" ";" ";"2013";8;48;118;115
" ";" ";"2014";7;65;188;185
" ";" ";"2015";9;87;228;213
" ";" ";"2016";11;132;348;343
" ";" ";"2017";11;131;340;323
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";1;11;142;32
" ";" ";"2009";1;11;142;32
" ";" ";"2010";1;11;142;32
" ";" ";"2011";1;11;142;32
" ";" ";"2012";1;11;142;32
" ";" ";"2013";1;11;142;32
" ";" ";"2014";1;11;142;32
" ";" ";"2015";1;11;142;142
" ";" ";"2016";1;11;32;32
" ";" ";"2017";1;11;32;32
"Obmorske obèine"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;9128;24912;22817
" ";" ";"2009";...;9313;25486;23372
" ";" ";"2010";...;8821;24080;22210
" ";" ";"2011";...;8943;24531;22452
" ";" ";"2012";...;8661;24560;22371
" ";" ";"2013";...;8653;24752;22355
" ";" ";"2014";...;8554;24512;22187
" ";" ";"2015";...;8615;24877;22527
" ";" ";"2016";...;8637;24938;22495
" ";" ";"2017";...;8894;25387;22668
" ";"Hoteli"
" ";" ";"2008";38;4044;9264;8077
" ";" ";"2009";37;4092;9371;8199
" ";" ";"2010";37;4105;9330;8233
" ";" ";"2011";37;4106;9525;8311
" ";" ";"2012";38;3899;9025;7800
" ";" ";"2013";38;3899;9016;7807
" ";" ";"2014";41;3981;9244;7970
" ";" ";"2015";42;3990;9328;8052
" ";" ";"2016";42;3959;9361;8015
" ";" ";"2017";43;4031;9503;8118
" ";"Moteli"
" ";" ";"2008";1;24;48;48
" ";" ";"2009";-;-;-;-
" ";" ";"2010";-;-;-;-
" ";" ";"2011";-;-;-;-
" ";" ";"2012";-;-;-;-
" ";" ";"2013";-;-;-;-
" ";" ";"2014";-;-;-;-
" ";" ";"2015";-;-;-;-
" ";" ";"2016";-;-;-;-
" ";" ";"2017";-;-;-;-
" ";"Penzioni"
" ";" ";"2008";7;97;350;344
" ";" ";"2009";9;141;461;453
" ";" ";"2010";8;106;395;335
" ";" ";"2011";7;103;377;318
" ";" ";"2012";7;98;277;244
" ";" ";"2013";7;98;278;244
" ";" ";"2014";6;83;247;213
" ";" ";"2015";5;78;237;204
" ";" ";"2016";5;79;236;203
" ";" ";"2017";5;79;236;203
" ";"Gostišèa"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";1;20;50;50
" ";" ";"2011";2;24;60;58
" ";" ";"2012";2;24;60;60
" ";" ";"2013";2;35;80;80
" ";" ";"2014";3;40;91;91
" ";" ";"2015";3;40;91;91
" ";" ";"2016";4;50;122;122
" ";" ";"2017";4;50;122;122
" ";"Prenoèišèa"
" ";" ";"2008";8;78;215;200
" ";" ";"2009";12;112;293;280
" ";" ";"2010";6;35;88;81
" ";" ";"2011";7;47;117;106
" ";" ";"2012";6;37;96;88
" ";" ";"2013";6;40;99;97
" ";" ";"2014";9;50;150;142
" ";" ";"2015";9;47;128;125
" ";" ";"2016";7;32;89;82
" ";" ";"2017";9;53;124;115
" ";"Apartmajska in poèitniška naselja"
" ";" ";"2008";5;192;730;606
" ";" ";"2009";3;172;647;536
" ";" ";"2010";4;180;681;563
" ";" ";"2011";5;318;1082;898
" ";" ";"2012";5;318;1188;883
" ";" ";"2013";4;310;1154;856
" ";" ";"2014";4;309;1154;856
" ";" ";"2015";4;308;1155;857
" ";" ";"2016";3;289;1090;815
" ";" ";"2017";3;291;948;708
" ";"Kampi"
" ";" ";"2008";7;1640;4070;4070
" ";" ";"2009";7;1640;4075;4075
" ";" ";"2010";7;1919;4665;4665
" ";" ";"2011";8;1954;4935;4935
" ";" ";"2012";9;1786;5158;5158
" ";" ";"2013";7;1695;4877;4877
" ";" ";"2014";7;1696;4877;4877
" ";" ";"2015";7;1739;5005;5005
" ";" ";"2016";8;1750;5027;5027
" ";" ";"2017";7;1703;4792;4792
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"2008";6;27;74;66
" ";" ";"2009";6;27;74;66
" ";" ";"2010";6;18;55;55
" ";" ";"2011";6;13;41;37
" ";" ";"2012";9;19;78;65
" ";" ";"2013";9;22;86;71
" ";" ";"2014";10;23;80;69
" ";" ";"2015";10;23;82;72
" ";" ";"2016";8;19;60;51
" ";" ";"2017";11;27;76;65
" ";"Mladinski hoteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";8;88;293;284
" ";" ";"2011";8;88;294;287
" ";" ";"2012";9;95;337;329
" ";" ";"2013";12;107;425;406
" ";" ";"2014";15;121;469;457
" ";" ";"2015";17;148;508;489
" ";" ";"2016";20;183;628;607
" ";" ";"2017";16;189;622;577
" ";"Zasebne sobe, apartmaji, hiše"
" ";" ";"2008";...;1950;5621;5101
" ";" ";"2009";...;2060;6126;5492
" ";" ";"2010";...;1223;3870;3450
" ";" ";"2011";...;1221;3677;3214
" ";" ";"2012";...;1329;3975;3482
" ";" ";"2013";...;1378;4247;3565
" ";" ";"2014";...;1203;3863;3293
" ";" ";"2015";...;1171;3961;3378
" ";" ";"2016";...;1244;4138;3506
" ";" ";"2017";...;1461;4919;4133
" ";"Planinski domovi in koèe"
" ";" ";"2008";1;2;20;16
" ";" ";"2009";1;2;20;16
" ";" ";"2010";1;3;25;20
" ";" ";"2011";1;2;24;22
" ";" ";"2012";1;2;24;20
" ";" ";"2013";1;2;24;20
" ";" ";"2014";1;2;24;20
" ";" ";"2015";1;2;24;20
" ";" ";"2016";1;3;24;20
" ";" ";"2017";1;3;24;20
" ";"Delavski poèit.domovi in apartmaji, otroški in mladinski poèitniški domovi"
" ";" ";"2008";...;491;2556;2325
" ";" ";"2009";...;483;2441;2277
" ";" ";"2010";...;511;2594;2495
" ";" ";"2011";...;452;2387;2254
" ";" ";"2012";...;440;2313;2213
" ";" ";"2013";...;428;2234;2140
" ";" ";"2014";...;417;2216;2113
" ";" ";"2015";...;417;2189;2105
" ";" ";"2016";...;411;2142;2059
" ";" ";"2017";...;347;1820;1735
" ";"Drugi nastanitveni objekti"
" ";" ";"2008";4;27;66;66
" ";" ";"2009";4;27;66;66
" ";" ";"2010";4;30;73;73
" ";" ";"2011";4;30;73;73
" ";" ";"2012";4;30;73;73
" ";" ";"2013";4;29;70;70
" ";" ";"2014";3;23;62;58
" ";" ";"2015";3;24;65;63
" ";" ";"2016";3;24;66;64
" ";" ";"2017";3;37;104;87
" ";"Zaèasne nastanitvene zmogljivosti in marine"
" ";" ";"2008";7;556;1898;1898
" ";" ";"2009";7;557;1912;1912
" ";" ";"2010";7;583;1961;1906
" ";" ";"2011";7;585;1939;1939
" ";" ";"2012";7;584;1956;1956
" ";" ";"2013";7;610;2162;2122
" ";" ";"2014";7;606;2035;2028
" ";" ";"2015";7;628;2104;2066
" ";" ";"2016";7;594;1955;1924
" ";" ";"2017";7;623;2097;1993
"Ljubljana"
