"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2013";209;514
" ";" ";" ";"2014";475;1776
" ";" ";" ";"2015";277;1232
" ";" ";" ";"2016";275;947
" ";" ";" ";"2017";213;657
" ";" ";"Islandija"
" ";" ";" ";"2008";170;285
" ";" ";" ";"2009";8;29
" ";" ";" ";"2010";28;84
" ";" ";" ";"2011";102;335
" ";" ";" ";"2012";56;267
" ";" ";" ";"2013";34;45
" ";" ";" ";"2014";51;86
" ";" ";" ";"2015";92;226
" ";" ";" ";"2016";33;80
" ";" ";" ";"2017";59;117
" ";" ";"Italija"
" ";" ";" ";"2008";52886;192234
" ";" ";" ";"2009";54256;196002
" ";" ";" ";"2010";56277;196605
" ";" ";" ";"2011";58257;196798
" ";" ";" ";"2012";55465;182905
" ";" ";" ";"2013";51813;165493
" ";" ";" ";"2014";56219;170180
" ";" ";" ";"2015";61884;183833
" ";" ";" ";"2016";66253;199770
" ";" ";" ";"2017";67721;199212
" ";" ";"Latvija"
" ";" ";" ";"2008";257;676
" ";" ";" ";"2009";178;674
" ";" ";" ";"2010";106;567
" ";" ";" ";"2011";184;744
" ";" ";" ";"2012";93;562
" ";" ";" ";"2013";141;557
" ";" ";" ";"2014";170;651
" ";" ";" ";"2015";165;499
" ";" ";" ";"2016";643;1743
" ";" ";" ";"2017";253;771
" ";" ";"Litva"
" ";" ";" ";"2008";235;491
" ";" ";" ";"2009";110;371
" ";" ";" ";"2010";87;487
" ";" ";" ";"2011";64;194
" ";" ";" ";"2012";138;779
" ";" ";" ";"2013";134;691
" ";" ";" ";"2014";102;310
" ";" ";" ";"2015";182;1258
" ";" ";" ";"2016";175;788
" ";" ";" ";"2017";209;706
" ";" ";"Luksemburg"
" ";" ";" ";"2008";85;613
" ";" ";" ";"2009";102;709
" ";" ";" ";"2010";75;465
" ";" ";" ";"2011";55;165
" ";" ";" ";"2012";69;349
" ";" ";" ";"2013";50;167
" ";" ";" ";"2014";71;359
" ";" ";" ";"2015";57;167
" ";" ";" ";"2016";90;316
" ";" ";" ";"2017";64;243
" ";" ";"Madžarska"
" ";" ";" ";"2008";3669;9984
" ";" ";" ";"2009";2840;8865
" ";" ";" ";"2010";3047;8173
" ";" ";" ";"2011";3175;8105
" ";" ";" ";"2012";3003;8789
" ";" ";" ";"2013";2598;7147
" ";" ";" ";"2014";2894;8046
" ";" ";" ";"2015";3512;10275
" ";" ";" ";"2016";3935;9881
" ";" ";" ";"2017";5258;15034
" ";" ";"Makedonija"
" ";" ";" ";"2008";851;2634
" ";" ";" ";"2009";753;2587
" ";" ";" ";"2010";1124;3152
" ";" ";" ";"2011";1701;3949
" ";" ";" ";"2012";1034;2997
" ";" ";" ";"2013";1588;3552
" ";" ";" ";"2014";930;3492
" ";" ";" ";"2015";1389;4022
" ";" ";" ";"2016";1779;5327
" ";" ";" ";"2017";1937;4856
" ";" ";"Malta"
" ";" ";" ";"2008";198;908
" ";" ";" ";"2009";26;102
" ";" ";" ";"2010";47;108
" ";" ";" ";"2011";19;81
" ";" ";" ";"2012";101;398
" ";" ";" ";"2013";105;335
" ";" ";" ";"2014";29;73
" ";" ";" ";"2015";159;1050
" ";" ";" ";"2016";8;18
" ";" ";" ";"2017";35;221
" ";" ";"Nemèija"
" ";" ";" ";"2008";15125;73008
" ";" ";" ";"2009";12566;60854
" ";" ";" ";"2010";13711;62651
" ";" ";" ";"2011";13638;67686
" ";" ";" ";"2012";15368;73571
