"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2012";79;192
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Turèija"
" ";" ";" ";"2008";26;100
" ";" ";" ";"2009";13;58
" ";" ";" ";"2010";44;128
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";24;80
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Ukrajina"
" ";" ";" ";"2008";476;5203
" ";" ";" ";"2009";401;3678
" ";" ";" ";"2010";148;771
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";217;1149
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";941;5170
" ";" ";" ";"2009";648;3946
" ";" ";" ";"2010";722;4055
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";220;1225
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";2;6
" ";" ";" ";"2009";3;16
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";5;15
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Avstralija"
" ";" ";" ";"2008";67;269
" ";" ";" ";"2009";57;140
" ";" ";" ";"2010";56;215
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";17;31
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";16;42
" ";" ";" ";"2009";20;34
" ";" ";" ";"2010";14;54
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";4;6
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Izrael"
" ";" ";" ";"2008";908;3951
" ";" ";" ";"2009";870;4353
" ";" ";" ";"2010";592;2759
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";1180;5227
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Japonska"
" ";" ";" ";"2008";206;252
" ";" ";" ";"2009";30;103
" ";" ";" ";"2010";16;52
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";28;72
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";14;39
" ";" ";" ";"2009";20;64
" ";" ";" ";"2010";13;32
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";12;92
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";2;6
" ";" ";" ";"2009";12;23
" ";" ";" ";"2010";5;5
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";11;16
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Brazilija"
" ";" ";" ";"2008";25;72
" ";" ";" ";"2009";16;39
" ";" ";" ";"2010";9;14
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";8;17
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Kanada"
" ";" ";" ";"2008";69;497
" ";" ";" ";"2009";26;148
" ";" ";" ";"2010";46;200
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";23;25
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";105;716
" ";" ";" ";"2009";77;326
" ";" ";" ";"2010";152;545
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";116;321
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";"Kampi"
" ";" ";"Avstrija"
" ";" ";" ";"2008";4489;11994
" ";" ";" ";"2009";5064;12948
" ";" ";" ";"2010";4630;12471
" ";" ";" ";"2011";5836;15110
" ";" ";" ";"2012";5795;14410
" ";" ";" ";"2013";6570;16559
" ";" ";" ";"2014";6544;16873
" ";" ";" ";"2015";7603;19912
" ";" ";" ";"2016";8377;21407
" ";" ";" ";"2017";10801;27058
" ";" ";"Belgija"
" ";" ";" ";"2008";4890;15994
" ";" ";" ";"2009";3820;12813
" ";" ";" ";"2010";4232;13436
" ";" ";" ";"2011";5752;18647
" ";" ";" ";"2012";6462;21715
" ";" ";" ";"2013";7847;25258
" ";" ";" ";"2014";6806;21151
" ";" ";" ";"2015";8138;24533
" ";" ";" ";"2016";8949;27752
" ";" ";" ";"2017";12797;37991
" ";" ";"Bolgarija"
" ";" ";" ";"2008";183;510
" ";" ";" ";"2009";82;116
" ";" ";" ";"2010";168;265
" ";" ";" ";"2011";263;753
" ";" ";" ";"2012";157;330
" ";" ";" ";"2013";199;407
" ";" ";" ";"2014";241;399
" ";" ";" ";"2015";207;386
" ";" ";" ";"2016";659;1579
" ";" ";" ";"2017";344;731
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";22;51
" ";" ";" ";"2009";15;22
" ";" ";" ";"2010";18;44
" ";" ";" ";"2011";32;76
" ";" ";" ";"2012";33;101
" ";" ";" ";"2013";35;128
" ";" ";" ";"2014";30;79
" ";" ";" ";"2015";44;110
" ";" ";" ";"2016";66;159
" ";" ";" ";"2017";107;204
" ";" ";"Ciper"
" ";" ";" ";"2008";1;3
" ";" ";" ";"2009";8;10
" ";" ";" ";"2010";6;16
" ";" ";" ";"2011";1;6
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";3;3
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";2;4
" ";" ";" ";"2016";2;3
" ";" ";" ";"2017";5;8
" ";" ";"Èeška republika"
" ";" ";" ";"2008";10483;22400
" ";" ";" ";"2009";10479;23670
" ";" ";" ";"2010";12512;27733
" ";" ";" ";"2011";13121;29085
" ";" ";" ";"2012";14889;32523
" ";" ";" ";"2013";14694;33354
" ";" ";" ";"2014";15409;35039
" ";" ";" ";"2015";15309;33655
" ";" ";" ";"2016";18110;42073
" ";" ";" ";"2017";22904;51260
" ";" ";"Èrna gora"
" ";" ";" ";"2008";60;60
" ";" ";" ";"2009";2;2
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";4;7
" ";" ";" ";"2012";5;34
" ";" ";" ";"2013";1;1
" ";" ";" ";"2014";2;2
" ";" ";" ";"2015";4;4
" ";" ";" ";"2016";9;20
" ";" ";" ";"2017";17;26
" ";" ";"Danska"
" ";" ";" ";"2008";2196;7368
" ";" ";" ";"2009";1824;5923
" ";" ";" ";"2010";2009;6544
" ";" ";" ";"2011";1778;5861
" ";" ";" ";"2012";2010;6324
" ";" ";" ";"2013";2098;7194
" ";" ";" ";"2014";1547;4753
" ";" ";" ";"2015";1829;6084
" ";" ";" ";"2016";1847;6674
" ";" ";" ";"2017";2474;7686
" ";" ";"Estonija"
" ";" ";" ";"2008";43;57
" ";" ";" ";"2009";105;120
" ";" ";" ";"2010";50;76
" ";" ";" ";"2011";69;115
" ";" ";" ";"2012";71;99
" ";" ";" ";"2013";52;73
" ";" ";" ";"2014";73;131
" ";" ";" ";"2015";92;128
" ";" ";" ";"2016";101;180
" ";" ";" ";"2017";137;296
" ";" ";"Finska"
" ";" ";" ";"2008";360;717
" ";" ";" ";"2009";292;574
" ";" ";" ";"2010";387;604
" ";" ";" ";"2011";344;669
" ";" ";" ";"2012";248;487
" ";" ";" ";"2013";354;591
" ";" ";" ";"2014";285;509
" ";" ";" ";"2015";282;678
" ";" ";" ";"2016";342;603
" ";" ";" ";"2017";478;983
" ";" ";"Francija"
" ";" ";" ";"2008";5816;14310
" ";" ";" ";"2009";5129;12049
" ";" ";" ";"2010";5759;13559
" ";" ";" ";"2011";6080;14505
" ";" ";" ";"2012";6387;14661
" ";" ";" ";"2013";6456;15297
" ";" ";" ";"2014";6385;13810
" ";" ";" ";"2015";8282;19053
" ";" ";" ";"2016";8312;19499
" ";" ";" ";"2017";10033;23209
" ";" ";"Grèija"
" ";" ";" ";"2008";51;143
" ";" ";" ";"2009";48;84
" ";" ";" ";"2010";82;188
" ";" ";" ";"2011";89;156
" ";" ";" ";"2012";59;145
" ";" ";" ";"2013";87;214
" ";" ";" ";"2014";30;50
" ";" ";" ";"2015";35;54
" ";" ";" ";"2016";114;297
" ";" ";" ";"2017";101;243
" ";" ";"Hrvaška"
" ";" ";" ";"2008";339;1166
" ";" ";" ";"2009";227;678
" ";" ";" ";"2010";290;872
" ";" ";" ";"2011";334;866
" ";" ";" ";"2012";383;918
" ";" ";" ";"2013";467;1301
" ";" ";" ";"2014";391;905
" ";" ";" ";"2015";566;1270
" ";" ";" ";"2016";803;1880
" ";" ";" ";"2017";879;2118
" ";" ";"Irska"
" ";" ";" ";"2008";288;643
" ";" ";" ";"2009";321;1005
" ";" ";" ";"2010";326;1032
" ";" ";" ";"2011";220;708
" ";" ";" ";"2012";275;780
" ";" ";" ";"2013";297;1001
" ";" ";" ";"2014";254;577
" ";" ";" ";"2015";362;1023
" ";" ";" ";"2016";373;1127
" ";" ";" ";"2017";434;1180
" ";" ";"Islandija"
" ";" ";" ";"2008";14;25
" ";" ";" ";"2009";8;12
" ";" ";" ";"2010";11;27
" ";" ";" ";"2011";9;19
" ";" ";" ";"2012";25;45
" ";" ";" ";"2013";15;24
" ";" ";" ";"2014";14;52
" ";" ";" ";"2015";22;73
" ";" ";" ";"2016";34;50
" ";" ";" ";"2017";22;59
" ";" ";"Italija"
" ";" ";" ";"2008";8251;19032
" ";" ";" ";"2009";9253;20975
" ";" ";" ";"2010";8192;19207
" ";" ";" ";"2011";9525;21676
" ";" ";" ";"2012";9342;21510
" ";" ";" ";"2013";8891;21189
" ";" ";" ";"2014";7577;16663
" ";" ";" ";"2015";9639;21773
" ";" ";" ";"2016";10716;24990
" ";" ";" ";"2017";13061;30338
" ";" ";"Latvija"
" ";" ";" ";"2008";181;324
" ";" ";" ";"2009";49;91
" ";" ";" ";"2010";214;531
" ";" ";" ";"2011";130;467
" ";" ";" ";"2012";146;486
" ";" ";" ";"2013";229;630
" ";" ";" ";"2014";182;439
" ";" ";" ";"2015";233;505
" ";" ";" ";"2016";253;623
" ";" ";" ";"2017";271;711
" ";" ";"Litva"
" ";" ";" ";"2008";428;578
" ";" ";" ";"2009";285;423
" ";" ";" ";"2010";278;398
" ";" ";" ";"2011";306;523
" ";" ";" ";"2012";353;589
" ";" ";" ";"2013";411;1075
" ";" ";" ";"2014";308;698
" ";" ";" ";"2015";387;946
" ";" ";" ";"2016";414;749
" ";" ";" ";"2017";500;1248
" ";" ";"Luksemburg"
" ";" ";" ";"2008";115;337
" ";" ";" ";"2009";56;182
" ";" ";" ";"2010";67;181
" ";" ";" ";"2011";118;338
" ";" ";" ";"2012";101;339
" ";" ";" ";"2013";90;197
" ";" ";" ";"2014";153;325
" ";" ";" ";"2015";115;262
" ";" ";" ";"2016";96;223
" ";" ";" ";"2017";198;547
" ";" ";"Madžarska"
" ";" ";" ";"2008";2444;5778
" ";" ";" ";"2009";2484;6374
" ";" ";" ";"2010";2598;6396
" ";" ";" ";"2011";3131;7705
" ";" ";" ";"2012";2653;6494
" ";" ";" ";"2013";3130;8248
" ";" ";" ";"2014";2719;7113
" ";" ";" ";"2015";3790;9929
" ";" ";" ";"2016";3683;9420
" ";" ";" ";"2017";4781;12610
" ";" ";"Makedonija"
" ";" ";" ";"2008";7;20
" ";" ";" ";"2009";7;18
" ";" ";" ";"2010";25;54
" ";" ";" ";"2011";13;24
" ";" ";" ";"2012";27;53
" ";" ";" ";"2013";30;72
" ";" ";" ";"2014";10;31
" ";" ";" ";"2015";13;31
" ";" ";" ";"2016";39;82
" ";" ";" ";"2017";39;72
" ";" ";"Malta"
" ";" ";" ";"2008";41;141
" ";" ";" ";"2009";35;95
" ";" ";" ";"2010";37;76
" ";" ";" ";"2011";35;82
" ";" ";" ";"2012";42;86
" ";" ";" ";"2013";27;46
" ";" ";" ";"2014";50;132
" ";" ";" ";"2015";39;126
" ";" ";" ";"2016";48;173
" ";" ";" ";"2017";51;95
" ";" ";"Nemèija"
" ";" ";" ";"2008";31466;97804
" ";" ";" ";"2009";28969;90656
" ";" ";" ";"2010";28070;91412
" ";" ";" ";"2011";34173;106266
" ";" ";" ";"2012";38293;115349
" ";" ";" ";"2013";39223;118957
" ";" ";" ";"2014";36570;107563
" ";" ";" ";"2015";45476;130172
" ";" ";" ";"2016";49221;139295
" ";" ";" ";"2017";72703;209779
" ";" ";"Nizozemska"
" ";" ";" ";"2008";19160;94079
" ";" ";" ";"2009";17730;85679
" ";" ";" ";"2010";15150;70126
" ";" ";" ";"2011";17271;74700
" ";" ";" ";"2012";21487;95329
" ";" ";" ";"2013";22448;107064
" ";" ";" ";"2014";18857;82032
" ";" ";" ";"2015";21463;86484
" ";" ";" ";"2016";23880;91463
" ";" ";" ";"2017";34652;133542
" ";" ";"Norveška"
" ";" ";" ";"2008";155;261
" ";" ";" ";"2009";187;282
" ";" ";" ";"2010";252;477
" ";" ";" ";"2011";212;386
" ";" ";" ";"2012";278;495
" ";" ";" ";"2013";282;530
" ";" ";" ";"2014";303;482
" ";" ";" ";"2015";286;462
" ";" ";" ";"2016";329;569
" ";" ";" ";"2017";516;939
" ";" ";"Poljska"
" ";" ";" ";"2008";2275;5741
" ";" ";" ";"2009";2104;5801
" ";" ";" ";"2010";2005;5014
" ";" ";" ";"2011";2632;6550
" ";" ";" ";"2012";3077;8063
" ";" ";" ";"2013";3442;9393
" ";" ";" ";"2014";3338;8424
" ";" ";" ";"2015";3882;10283
" ";" ";" ";"2016";4858;13192
" ";" ";" ";"2017";6675;16541
" ";" ";"Portugalska"
" ";" ";" ";"2008";96;202
" ";" ";" ";"2009";130;239
" ";" ";" ";"2010";105;254
" ";" ";" ";"2011";103;156
" ";" ";" ";"2012";51;80
" ";" ";" ";"2013";112;168
" ";" ";" ";"2014";57;110
" ";" ";" ";"2015";111;258
" ";" ";" ";"2016";164;308
" ";" ";" ";"2017";241;433
" ";" ";"Romunija"
" ";" ";" ";"2008";114;193
" ";" ";" ";"2009";128;225
" ";" ";" ";"2010";191;304
" ";" ";" ";"2011";247;433
" ";" ";" ";"2012";284;548
" ";" ";" ";"2013";272;651
" ";" ";" ";"2014";307;707
" ";" ";" ";"2015";376;787
" ";" ";" ";"2016";418;1006
" ";" ";" ";"2017";547;1232
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";70;150
" ";" ";" ";"2009";153;377
" ";" ";" ";"2010";59;95
" ";" ";" ";"2011";113;244
" ";" ";" ";"2012";222;585
" ";" ";" ";"2013";266;625
" ";" ";" ";"2014";259;665
" ";" ";" ";"2015";259;776
" ";" ";" ";"2016";294;690
" ";" ";" ";"2017";406;887
" ";" ";"Slovaška"
" ";" ";" ";"2008";996;1944
" ";" ";" ";"2009";855;1956
" ";" ";" ";"2010";1270;2856
" ";" ";" ";"2011";1596;3770
" ";" ";" ";"2012";1637;3368
" ";" ";" ";"2013";2184;4911
" ";" ";" ";"2014";2026;4382
" ";" ";" ";"2015";2346;5116
" ";" ";" ";"2016";2537;5648
" ";" ";" ";"2017";3710;8095
" ";" ";"Srbija"
" ";" ";" ";"2008";29;58
" ";" ";" ";"2009";30;51
" ";" ";" ";"2010";82;179
" ";" ";" ";"2011";78;169
" ";" ";" ";"2012";101;217
" ";" ";" ";"2013";66;165
" ";" ";" ";"2014";99;258
" ";" ";" ";"2015";139;467
" ";" ";" ";"2016";153;369
" ";" ";" ";"2017";173;416
" ";" ";"Španija"
" ";" ";" ";"2008";2182;6713
" ";" ";" ";"2009";1974;4307
" ";" ";" ";"2010";1802;3754
" ";" ";" ";"2011";1940;3878
" ";" ";" ";"2012";1736;3678
" ";" ";" ";"2013";1573;2941
" ";" ";" ";"2014";1619;2808
" ";" ";" ";"2015";1987;4025
" ";" ";" ";"2016";2526;5143
" ";" ";" ";"2017";3658;8363
" ";" ";"Švedska"
" ";" ";" ";"2008";745;1245
" ";" ";" ";"2009";657;1293
" ";" ";" ";"2010";640;1415
" ";" ";" ";"2011";692;1391
" ";" ";" ";"2012";701;1238
" ";" ";" ";"2013";772;1553
" ";" ";" ";"2014";888;1697
" ";" ";" ";"2015";1058;2136
" ";" ";" ";"2016";1219;2257
" ";" ";" ";"2017";1752;3156
" ";" ";"Švica"
" ";" ";" ";"2008";1592;3985
" ";" ";" ";"2009";1487;3806
" ";" ";" ";"2010";1525;3315
" ";" ";" ";"2011";1931;4751
" ";" ";" ";"2012";2104;5162
" ";" ";" ";"2013";2314;6208
" ";" ";" ";"2014";1940;4927
" ";" ";" ";"2015";2464;5858
" ";" ";" ";"2016";3373;7989
" ";" ";" ";"2017";4734;11299
" ";" ";"Turèija"
" ";" ";" ";"2008";8;33
" ";" ";" ";"2009";62;168
" ";" ";" ";"2010";18;33
" ";" ";" ";"2011";25;43
" ";" ";" ";"2012";61;108
" ";" ";" ";"2013";48;68
" ";" ";" ";"2014";55;84
" ";" ";" ";"2015";91;156
" ";" ";" ";"2016";108;183
" ";" ";" ";"2017";194;318
" ";" ";"Ukrajina"
" ";" ";" ";"2008";38;74
" ";" ";" ";"2009";11;31
" ";" ";" ";"2010";17;39
" ";" ";" ";"2011";48;173
" ";" ";" ";"2012";109;234
" ";" ";" ";"2013";93;304
" ";" ";" ";"2014";167;476
" ";" ";" ";"2015";100;257
" ";" ";" ";"2016";220;631
" ";" ";" ";"2017";264;745
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";5147;15844
" ";" ";" ";"2009";4262;12927
" ";" ";" ";"2010";4642;14978
" ";" ";" ";"2011";4462;14012
" ";" ";" ";"2012";4479;14541
" ";" ";" ";"2013";4681;14388
" ";" ";" ";"2014";4341;11927
" ";" ";" ";"2015";5659;16354
" ";" ";" ";"2016";6175;17741
" ";" ";" ";"2017";7634;21654
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";14;21
" ";" ";" ";"2009";24;69
" ";" ";" ";"2010";15;36
" ";" ";" ";"2011";20;30
" ";" ";" ";"2012";10;35
" ";" ";" ";"2013";29;86
" ";" ";" ";"2014";25;43
" ";" ";" ";"2015";24;45
" ";" ";" ";"2016";18;36
" ";" ";" ";"2017";24;33
" ";" ";"Avstralija"
" ";" ";" ";"2008";751;1568
" ";" ";" ";"2009";741;1597
" ";" ";" ";"2010";670;1537
" ";" ";" ";"2011";670;1367
" ";" ";" ";"2012";584;1212
" ";" ";" ";"2013";412;972
" ";" ";" ";"2014";477;991
" ";" ";" ";"2015";623;1314
" ";" ";" ";"2016";699;1566
" ";" ";" ";"2017";761;1692
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";348;690
" ";" ";" ";"2009";308;627
" ";" ";" ";"2010";285;610
" ";" ";" ";"2011";310;739
" ";" ";" ";"2012";331;742
" ";" ";" ";"2013";253;623
" ";" ";" ";"2014";227;449
" ";" ";" ";"2015";281;593
" ";" ";" ";"2016";358;770
" ";" ";" ";"2017";410;1014
" ";" ";"Izrael"
" ";" ";" ";"2008";598;1003
" ";" ";" ";"2009";544;986
" ";" ";" ";"2010";802;1236
" ";" ";" ";"2011";711;1192
" ";" ";" ";"2012";888;1408
" ";" ";" ";"2013";945;1536
" ";" ";" ";"2014";839;1468
" ";" ";" ";"2015";982;1742
" ";" ";" ";"2016";986;1955
" ";" ";" ";"2017";769;1763
" ";" ";"Japonska"
" ";" ";" ";"2008";47;97
" ";" ";" ";"2009";19;37
" ";" ";" ";"2010";18;52
" ";" ";" ";"2011";25;51
" ";" ";" ";"2012";23;28
" ";" ";" ";"2013";22;41
" ";" ";" ";"2014";31;38
" ";" ";" ";"2015";42;103
" ";" ";" ";"2016";36;74
" ";" ";" ";"2017";22;47
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";12;25
" ";" ";" ";"2009";15;22
" ";" ";" ";"2010";4;8
" ";" ";" ";"2011";14;18
" ";" ";" ";"2012";7;12
" ";" ";" ";"2013";6;10
" ";" ";" ";"2014";29;40
" ";" ";" ";"2015";56;102
" ";" ";" ";"2016";51;83
" ";" ";" ";"2017";95;172
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";38;60
" ";" ";" ";"2009";6;29
" ";" ";" ";"2010";59;62
" ";" ";" ";"2011";46;68
" ";" ";" ";"2012";32;46
" ";" ";" ";"2013";37;42
" ";" ";" ";"2014";64;99
" ";" ";" ";"2015";155;272
" ";" ";" ";"2016";135;206
" ";" ";" ";"2017";219;328
" ";" ";"Brazilija"
" ";" ";" ";"2008";7;17
" ";" ";" ";"2009";8;22
" ";" ";" ";"2010";8;13
" ";" ";" ";"2011";17;27
" ";" ";" ";"2012";15;27
" ";" ";" ";"2013";21;35
" ";" ";" ";"2014";64;165
" ";" ";" ";"2015";100;189
" ";" ";" ";"2016";119;193
" ";" ";" ";"2017";116;193
" ";" ";"Kanada"
" ";" ";" ";"2008";127;426
" ";" ";" ";"2009";115;288
" ";" ";" ";"2010";181;470
" ";" ";" ";"2011";190;395
" ";" ";" ";"2012";160;297
" ";" ";" ";"2013";228;473
" ";" ";" ";"2014";188;398
" ";" ";" ";"2015";259;522
" ";" ";" ";"2016";316;703
" ";" ";" ";"2017";315;645
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";694;1666
" ";" ";" ";"2009";504;1064
" ";" ";" ";"2010";630;1363
" ";" ";" ";"2011";712;1578
" ";" ";" ";"2012";807;1962
" ";" ";" ";"2013";923;2132
" ";" ";" ";"2014";827;1799
" ";" ";" ";"2015";974;1994
" ";" ";" ";"2016";1036;2334
" ";" ";" ";"2017";1249;2690
" ";"Turistiène kmetije z nastanitvijo"
" ";" ";"Avstrija"
" ";" ";" ";"2008";247;684
" ";" ";" ";"2009";228;541
" ";" ";" ";"2010";221;576
" ";" ";" ";"2011";343;852
" ";" ";" ";"2012";311;819
" ";" ";" ";"2013";443;1052
" ";" ";" ";"2014";510;1235
" ";" ";" ";"2015";638;1418
" ";" ";" ";"2016";855;2013
" ";" ";" ";"2017";853;2029
" ";" ";"Belgija"
" ";" ";" ";"2008";161;527
" ";" ";" ";"2009";233;618
" ";" ";" ";"2010";259;954
" ";" ";" ";"2011";286;869
" ";" ";" ";"2012";318;1171
" ";" ";" ";"2013";573;1833
" ";" ";" ";"2014";465;1693
" ";" ";" ";"2015";640;2199
" ";" ";" ";"2016";806;3231
" ";" ";" ";"2017";929;3643
" ";" ";"Bolgarija"
" ";" ";" ";"2008";5;6
" ";" ";" ";"2009";7;16
" ";" ";" ";"2010";25;88
" ";" ";" ";"2011";9;48
" ";" ";" ";"2012";29;103
" ";" ";" ";"2013";122;149
" ";" ";" ";"2014";36;85
" ";" ";" ";"2015";50;109
" ";" ";" ";"2016";85;164
" ";" ";" ";"2017";72;136
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";65;173
" ";" ";" ";"2009";55;211
" ";" ";" ";"2010";52;99
" ";" ";" ";"2011";104;210
" ";" ";" ";"2012";78;267
" ";" ";" ";"2013";117;303
" ";" ";" ";"2014";88;393
" ";" ";" ";"2015";61;224
" ";" ";" ";"2016";85;253
" ";" ";" ";"2017";80;247
" ";" ";"Ciper"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";1;3
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";2;6
" ";" ";" ";"2017";2;4
" ";" ";"Èeška republika"
" ";" ";" ";"2008";81;345
" ";" ";" ";"2009";136;388
" ";" ";" ";"2010";267;727
" ";" ";" ";"2011";224;636
" ";" ";" ";"2012";297;979
" ";" ";" ";"2013";497;1325
" ";" ";" ";"2014";455;1403
" ";" ";" ";"2015";638;1627
" ";" ";" ";"2016";885;2402
" ";" ";" ";"2017";918;2474
" ";" ";"Èrna gora"
" ";" ";" ";"2008";1;1
" ";" ";" ";"2009";1;3
" ";" ";" ";"2010";18;18
" ";" ";" ";"2011";2;2
" ";" ";" ";"2012";5;12
" ";" ";" ";"2013";29;52
" ";" ";" ";"2014";6;28
" ";" ";" ";"2015";3;5
" ";" ";" ";"2016";10;11
" ";" ";" ";"2017";28;62
" ";" ";"Danska"
" ";" ";" ";"2008";33;113
" ";" ";" ";"2009";32;108
" ";" ";" ";"2010";27;63
" ";" ";" ";"2011";56;145
" ";" ";" ";"2012";54;126
" ";" ";" ";"2013";106;191
" ";" ";" ";"2014";51;134
" ";" ";" ";"2015";104;443
" ";" ";" ";"2016";102;276
" ";" ";" ";"2017";99;345
" ";" ";"Estonija"
" ";" ";" ";"2008";2;4
" ";" ";" ";"2009";2;4
" ";" ";" ";"2010";3;4
" ";" ";" ";"2011";5;9
" ";" ";" ";"2012";4;8
" ";" ";" ";"2013";16;29
" ";" ";" ";"2014";15;19
" ";" ";" ";"2015";23;37
" ";" ";" ";"2016";32;79
" ";" ";" ";"2017";26;34
" ";" ";"Finska"
" ";" ";" ";"2008";18;54
" ";" ";" ";"2009";22;62
" ";" ";" ";"2010";37;127
" ";" ";" ";"2011";30;91
" ";" ";" ";"2012";28;83
" ";" ";" ";"2013";117;242
" ";" ";" ";"2014";21;49
" ";" ";" ";"2015";59;89
" ";" ";" ";"2016";94;219
" ";" ";" ";"2017";97;227
" ";" ";"Francija"
" ";" ";" ";"2008";209;714
" ";" ";" ";"2009";214;733
" ";" ";" ";"2010";313;1116
" ";" ";" ";"2011";510;1756
" ";" ";" ";"2012";493;1616
" ";" ";" ";"2013";643;1777
" ";" ";" ";"2014";571;1587
" ";" ";" ";"2015";769;1980
" ";" ";" ";"2016";859;2011
" ";" ";" ";"2017";1090;2724
" ";" ";"Grèija"
" ";" ";" ";"2008";20;64
" ";" ";" ";"2009";23;71
" ";" ";" ";"2010";11;36
" ";" ";" ";"2011";15;30
" ";" ";" ";"2012";10;18
" ";" ";" ";"2013";22;48
" ";" ";" ";"2014";18;38
" ";" ";" ";"2015";8;17
" ";" ";" ";"2016";20;60
" ";" ";" ";"2017";22;67
" ";" ";"Hrvaška"
" ";" ";" ";"2008";218;544
" ";" ";" ";"2009";341;990
