"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Enostavnost dostopnosti destinacije";175301;53251;86413;20793;N;N;7798
" ";" ";"Cenovna ugodnost prevoza do destinacije";175301;35232;83735;28072;N;N;24642
" ";" ";"Organizacija lokalnega prevoza";175301;31663;58589;27381;5261;N;50269
" ";" ";"Splošna èistoèa destinacije";175301;72729;79898;14226;N;N;6315
" ";" ";"Neokrnjena narava";175301;68979;81091;16329;N;N;7294
" ";" ";"Podnebne razmere";175301;53642;82077;29991;N;N;6075
" ";" ";"Skrb za okolje";175301;53800;81681;20987;N;-;16780
" ";" ";"Prijaznost lokalnega prebivalstva";175301;84995;67635;12252;N;N;8582
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";175301;37329;75638;33523;5830;N;22566
" ";" ";"Ponudba kulturnih prireditev";175301;25052;53797;41453;6502;N;46916
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";175301;19362;50437;44398;6604;N;53277
" ";" ";"Ponudba športnih prireditev";175301;13969;36360;41127;6378;N;74097
" ";" ";"Zdravstvena ponudba";175301;17883;34930;30851;N;N;87340
" ";" ";"Dobropoèutna ponudba";175301;22546;50214;27913;4434;N;69424
" ";" ";"Ponudba lokalne gastronomije";175301;46143;80335;24278;4656;N;19467
" ";" ";"Možnosti za nakupovanje";175301;25225;67418;37515;7770;N;35874
" ";" ";"Noèno življenje in zabava";175301;18429;49876;33656;7405;N;63192
" ";" ";"Možnosti za poèitek";175301;46940;84840;22590;N;N;16128
" ";" ";"Primerno za družine";175301;36634;74076;20574;4599;-;39418
" ";" ";"Ponudba kazinojev in igralnic";175301;12521;30641;31540;4209;N;94322
" ";" ";"Konferenèna ponudba";175301;19362;32632;16566;5438;N;99483
" ";" ";"Kakovost nastanitve";175301;61841;88345;16155;N;N;7957
" ";" ";"Cenovna ugodnost ponudbe";175301;47149;91378;23939;N;-;8426
" ";" ";"Sloves destinacije";175301;62121;87540;14127;N;N;10401
" ";"Zdraviliške obèine"
" ";" ";"Osebna varnost";21902;17339;3221;N;-;-;-
" ";" ";"Dostopnost turistiènih informacij";21902;10415;7072;N;N;-;N
" ";" ";"Enostavnost dostopnosti destinacije";21902;11344;7504;N;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";21902;6041;5491;4280;N;-;4992
" ";" ";"Organizacija lokalnega prevoza";21902;4552;4716;N;N;N;9140
" ";" ";"Splošna èistoèa destinacije";21902;12923;6057;N;N;-;N
" ";" ";"Neokrnjena narava";21902;13835;5675;N;N;N;-
" ";" ";"Podnebne razmere";21902;11585;5231;4469;N;N;N
" ";" ";"Skrb za okolje";21902;11667;4364;N;N;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";21902;14261;5691;N;-;N;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";21902;5420;6563;N;N;-;5604
" ";" ";"Ponudba kulturnih prireditev";21902;4580;4394;4059;N;N;7069
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";21902;6417;5191;3547;N;-;6177
" ";" ";"Ponudba športnih prireditev";21902;4763;N;4518;N;N;8311
" ";" ";"Zdravstvena ponudba";21902;7011;4793;N;N;-;8074
" ";" ";"Dobropoèutna ponudba";21902;8036;3753;N;N;-;6420
" ";" ";"Ponudba lokalne gastronomije";21902;10176;5036;N;N;-;N
" ";" ";"Možnosti za nakupovanje";21902;5465;6573;5649;N;N;N
" ";" ";"Noèno življenje in zabava";21902;N;3808;5625;N;N;7780
" ";" ";"Možnosti za poèitek";21902;12890;4048;N;N;N;N
" ";" ";"Primerno za družine";21902;8379;8246;N;N;-;N
" ";" ";"Ponudba kazinojev in igralnic";21902;N;N;N;N;N;12236
" ";" ";"Konferenèna ponudba";21902;N;3714;N;N;-;12617
" ";" ";"Kakovost nastanitve";21902;13203;6593;N;N;-;N
" ";" ";"Cenovna ugodnost ponudbe";21902;10825;7427;N;N;-;N
" ";" ";"Sloves destinacije";21902;13620;5907;N;-;N;N
" ";"Gorske obèine"
" ";" ";"Osebna varnost";35993;21501;12155;N;-;-;N
" ";" ";"Dostopnost turistiènih informacij";35993;10400;16238;4998;-;N;N
" ";" ";"Enostavnost dostopnosti destinacije";35993;7358;21222;N;N;N;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";35993;N;23211;6277;-;-;N
" ";" ";"Organizacija lokalnega prevoza";35993;N;13636;9116;N;N;N
" ";" ";"Splošna èistoèa destinacije";35993;9676;24309;N;-;-;N
" ";" ";"Neokrnjena narava";35993;14006;19489;N;-;-;N
" ";" ";"Podnebne razmere";35993;9289;19074;6989;-;N;N
" ";" ";"Skrb za okolje";35993;11948;17595;N;-;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";35993;18795;14597;N;-;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";35993;N;16986;10575;-;N;N
" ";" ";"Ponudba kulturnih prireditev";35993;N;13049;12974;-;-;N
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";35993;N;10752;16899;-;-;N
" ";" ";"Ponudba športnih prireditev";35993;N;7111;18761;-;N;7680
" ";" ";"Zdravstvena ponudba";35993;N;5700;17415;-;N;11453
" ";" ";"Dobropoèutna ponudba";35993;N;12325;13134;N;N;8197
" ";" ";"Ponudba lokalne gastronomije";35993;7482;19977;N;N;-;N
" ";" ";"Možnosti za nakupovanje";35993;N;18136;9798;N;N;N
" ";" ";"Noèno življenje in zabava";35993;N;16530;8906;N;N;7791
" ";" ";"Možnosti za poèitek";35993;8395;20899;N;-;-;N
" ";" ";"Primerno za družine";35993;5229;20561;N;-;-;N
" ";" ";"Ponudba kazinojev in igralnic";35993;N;5439;17295;N;-;12230
" ";" ";"Konferenèna ponudba";35993;N;7396;6791;N;N;15634
" ";" ";"Kakovost nastanitve";35993;10127;20850;N;-;-;N
" ";" ";"Cenovna ugodnost ponudbe";35993;9167;16538;6674;N;-;N
" ";" ";"Sloves destinacije";35993;9593;21842;N;-;-;N
" ";"Obmorske obèine"
" ";" ";"Osebna varnost";32692;10509;20613;N;-;N;N
" ";" ";"Dostopnost turistiènih informacij";32692;4926;22755;3889;-;-;N
" ";" ";"Enostavnost dostopnosti destinacije";32692;4679;21456;4919;N;N;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";32692;3257;22139;3457;-;-;3839
" ";" ";"Organizacija lokalnega prevoza";32692;N;18319;5117;N;N;4876
" ";" ";"Splošna èistoèa destinacije";32692;7492;21578;N;-;N;N
" ";" ";"Neokrnjena narava";32692;6381;21420;3972;N;-;N
" ";" ";"Podnebne razmere";32692;7107;22125;N;-;N;N
" ";" ";"Skrb za okolje";32692;5663;21689;4125;-;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";32692;9159;18139;3746;N;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";32692;N;18195;7320;N;-;2842
" ";" ";"Ponudba kulturnih prireditev";32692;N;14096;9816;N;-;5535
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";32692;N;15556;7691;N;N;6576
" ";" ";"Ponudba športnih prireditev";32692;N;12668;6370;N;-;10138
" ";" ";"Zdravstvena ponudba";32692;N;13094;N;N;-;14361
" ";" ";"Dobropoèutna ponudba";32692;N;18966;N;N;-;8713
" ";" ";"Ponudba lokalne gastronomije";32692;5797;22172;3288;N;-;N
" ";" ";"Možnosti za nakupovanje";32692;N;16153;8549;N;N;4970
" ";" ";"Noèno življenje in zabava";32692;N;13103;7023;N;N;9029
" ";" ";"Možnosti za poèitek";32692;3543;24105;N;N;-;N
" ";" ";"Primerno za družine";32692;N;21738;N;N;-;4091
" ";" ";"Ponudba kazinojev in igralnic";32692;N;13778;N;N;N;14594
" ";" ";"Konferenèna ponudba";32692;N;9882;N;N;N;17989
" ";" ";"Kakovost nastanitve";32692;4545;25449;N;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";32692;N;24620;4763;N;-;N
" ";" ";"Sloves destinacije";32692;4592;25308;N;-;N;N
" ";"Ljubljana"
" ";" ";"Osebna varnost";47159;27512;13766;N;N;-;4999
" ";" ";"Dostopnost turistiènih informacij";47159;19142;19843;N;N;N;5599
" ";" ";"Enostavnost dostopnosti destinacije";47159;17565;18454;4872;N;N;5000
" ";" ";"Cenovna ugodnost prevoza do destinacije";47159;13317;17437;7042;N;N;7688
" ";" ";"Organizacija lokalnega prevoza";47159;11978;12628;6670;N;N;13938
" ";" ";"Splošna èistoèa destinacije";47159;24045;14929;3083;N;-;5032
" ";" ";"Neokrnjena narava";47159;19593;17667;5022;N;-;4806
" ";" ";"Podnebne razmere";47159;13341;21150;7279;N;-;4537
" ";" ";"Skrb za okolje";47159;16240;19063;3573;N;-;7498
" ";" ";"Prijaznost lokalnega prebivalstva";47159;24147;15122;N;N;-;5464
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";47159;12709;18940;5642;N;-;8199
" ";" ";"Ponudba kulturnih prireditev";47159;10317;12934;8774;N;-;14399
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";47159;5417;7466;7848;N;N;23696
" ";" ";"Ponudba športnih prireditev";47159;2782;6399;5756;N;N;30375
" ";" ";"Zdravstvena ponudba";47159;3941;5170;4509;N;N;32424
" ";" ";"Dobropoèutna ponudba";47159;5763;6891;4903;N;N;28036
" ";" ";"Ponudba lokalne gastronomije";47159;13992;14612;7962;N;N;9023
" ";" ";"Možnosti za nakupovanje";47159;6788;18178;6438;N;N;14111
" ";" ";"Noèno življenje in zabava";47159;5047;12266;4932;N;N;23643
" ";" ";"Možnosti za poèitek";47159;11627;20104;N;N;N;9811
" ";" ";"Primerno za družine";47159;9505;13842;4489;N;-;18593
" ";" ";"Ponudba kazinojev in igralnic";47159;3139;3589;3890;N;N;35624
" ";" ";"Konferenèna ponudba";47159;6166;4953;2420;N;N;32594
" ";" ";"Kakovost nastanitve";47159;17516;19039;4851;N;-;5544
" ";" ";"Cenovna ugodnost ponudbe";47159;13991;20517;4910;N;-;5834
" ";" ";"Sloves destinacije";47159;20101;17986;2335;-;-;6737
" ";"Mestne obèine in druge obèin"
" ";" ";"Osebna varnost";37555;19183;16229;N;N;-;N
" ";" ";"Dostopnost turistiènih informacij";37555;14374;9738;8326;N;N;N
" ";" ";"Enostavnost dostopnosti destinacije";37555;12303;17777;5875;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";37555;8988;15458;7015;N;N;5248
" ";" ";"Organizacija lokalnega prevoza";37555;6589;9290;N;N;-;15866
" ";" ";"Splošna èistoèa destinacije";37555;18594;13025;5042;N;-;-
" ";" ";"Neokrnjena narava";37555;15164;16840;N;N;-;N
" ";" ";"Podnebne razmere";37555;12319;14497;8600;N;N;N
" ";" ";"Skrb za okolje";37555;8281;18971;N;N;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";37555;18633;14087;N;-;N;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";37555;9790;14953;6317;N;-;N
" ";" ";"Ponudba kulturnih prireditev";37555;N;9325;5829;N;N;14095
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";37555;N;11472;8412;N;N;11313
" ";" ";"Ponudba športnih prireditev";37555;N;6657;5722;N;N;17593
" ";" ";"Zdravstvena ponudba";37555;4531;6174;4940;N;N;21028
" ";" ";"Dobropoèutna ponudba";37555;5229;8279;N;N;N;18058
" ";" ";"Ponudba lokalne gastronomije";37555;8696;18538;7051;N;-;N
" ";" ";"Možnosti za nakupovanje";37555;9111;8377;7082;N;N;9546
" ";" ";"Noèno življenje in zabava";37555;6553;N;7169;N;N;14949
" ";" ";"Možnosti za poèitek";37555;10486;15684;9188;-;N;N
" ";" ";"Primerno za družine";37555;10615;9690;6140;N;-;8792
" ";" ";"Ponudba kazinojev in igralnic";37555;4166;5493;N;N;N;19637
" ";" ";"Konferenèna ponudba";37555;N;6686;N;N;N;20648
" ";" ";"Kakovost nastanitve";37555;16451;16415;N;-;-;-
" ";" ";"Cenovna ugodnost ponudbe";37555;10621;22275;N;-;-;-
" ";" ";"Sloves destinacije";37555;14215;16497;5390;N;-;N
"September"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Osebna varnost";186356;103597;74323;4933;N;N;N
" ";" ";"Dostopnost turistiènih informacij";186356;59739;97425;20579;N;-;5291
" ";" ";"Enostavnost dostopnosti destinacije";186356;59572;92483;25178;N;-;6155
" ";" ";"Cenovna ugodnost prevoza do destinacije";186356;39625;85108;32462;6165;N;22618
" ";" ";"Organizacija lokalnega prevoza";186356;34697;54073;26494;10594;N;58662
" ";" ";"Splošna èistoèa destinacije";186356;77470;91012;13909;N;-;3430
" ";" ";"Neokrnjena narava";186356;76399;87683;16999;N;N;4439
" ";" ";"Podnebne razmere";186356;53549;90903;35864;N;-;3205
" ";" ";"Skrb za okolje";186356;58366;91476;26169;N;-;8883
" ";" ";"Prijaznost lokalnega prebivalstva";186356;85948;76108;15656;N;N;4958
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";186356;33830;92367;38439;3954;N;17359
" ";" ";"Ponudba kulturnih prireditev";186356;21699;68506;52624;8517;N;34453
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";186356;18286;66296;35893;7496;N;56854
" ";" ";"Ponudba športnih prireditev";186356;12270;40872;42582;10107;N;75832
" ";" ";"Zdravstvena ponudba";186356;20825;37682;26639;6376;N;92665
" ";" ";"Dobropoèutna ponudba";186356;28499;50984;26121;5738;N;72711
" ";" ";"Ponudba lokalne gastronomije";186356;53659;89397;24866;4287;N;13711
" ";" ";"Možnosti za nakupovanje";186356;22678;70046;58375;8425;N;24938
" ";" ";"Noèno življenje in zabava";186356;13404;51290;52981;9479;N;55459
" ";" ";"Možnosti za poèitek";186356;49342;97678;24045;N;N;12645
" ";" ";"Primerno za družine";186356;33671;74153;26164;4377;N;47007
" ";" ";"Ponudba kazinojev in igralnic";186356;12284;26077;25490;18785;N;101341
" ";" ";"Konferenèna ponudba";186356;12546;27868;22510;4218;N;117183
" ";" ";"Kakovost nastanitve";186356;60621;90996;28586;N;N;4235
" ";" ";"Cenovna ugodnost ponudbe";186356;54609;96840;28940;N;N;4461
" ";" ";"Sloves destinacije";186356;68541;83096;25475;N;N;7592
" ";"Zdraviliške obèine"
" ";" ";"Osebna varnost";20430;13236;4577;N;N;-;N
" ";" ";"Dostopnost turistiènih informacij";20430;10252;8386;N;-;-;N
" ";" ";"Enostavnost dostopnosti destinacije";20430;11324;5111;3346;-;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";20430;7413;5108;2280;N;N;4086
" ";" ";"Organizacija lokalnega prevoza";20430;5246;3629;3342;N;N;6975
" ";" ";"Splošna èistoèa destinacije";20430;13773;4961;N;N;-;N
" ";" ";"Neokrnjena narava";20430;11825;5644;N;N;-;N
" ";" ";"Podnebne razmere";20430;11506;7065;N;N;-;N
" ";" ";"Skrb za okolje";20430;13345;4470;N;N;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";20430;14248;4278;N;N;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";20430;3272;7838;4055;N;N;4198
" ";" ";"Ponudba kulturnih prireditev";20430;N;7406;4243;N;N;5965
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";20430;N;5900;3220;N;N;6731
" ";" ";"Ponudba športnih prireditev";20430;N;6603;3657;N;N;7185
" ";" ";"Zdravstvena ponudba";20430;7895;5542;N;N;-;4869
" ";" ";"Dobropoèutna ponudba";20430;9185;5360;2504;N;-;N
" ";" ";"Ponudba lokalne gastronomije";20430;9715;6824;N;-;-;N
" ";" ";"Možnosti za nakupovanje";20430;4845;6890;6014;N;N;N
" ";" ";"Noèno življenje in zabava";20430;3139;6578;3540;N;N;5283
" ";" ";"Možnosti za poèitek";20430;13446;3738;N;N;-;N
" ";" ";"Primerno za družine";20430;8382;6353;N;N;N;N
" ";" ";"Ponudba kazinojev in igralnic";20430;N;3004;N;N;N;11014
" ";" ";"Konferenèna ponudba";20430;2678;N;N;N;N;13100
" ";" ";"Kakovost nastanitve";20430;14229;4198;N;N;-;N
" ";" ";"Cenovna ugodnost ponudbe";20430;13104;6098;N;-;-;N
" ";" ";"Sloves destinacije";20430;14707;5069;N;-;-;N
" ";"Gorske obèine"
" ";" ";"Osebna varnost";42577;21262;19909;N;-;-;N
" ";" ";"Dostopnost turistiènih informacij";42577;10020;25515;6105;-;-;N
" ";" ";"Enostavnost dostopnosti destinacije";42577;9965;27034;N;-;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";42577;6016;26367;4579;-;-;5615
" ";" ";"Organizacija lokalnega prevoza";42577;N;7929;N;N;N;26809
" ";" ";"Splošna èistoèa destinacije";42577;16703;24766;N;-;-;N
" ";" ";"Neokrnjena narava";42577;16794;23766;N;-;-;N
" ";" ";"Podnebne razmere";42577;8568;15188;17201;N;-;N
" ";" ";"Skrb za okolje";42577;9191;24215;6793;-;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";42577;16746;23960;N;-;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";42577;N;24031;10914;-;N;N
" ";" ";"Ponudba kulturnih prireditev";42577;N;14476;16917;N;-;5964
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";42577;6388;23571;6031;N;-;6308
" ";" ";"Ponudba športnih prireditev";42577;N;10597;15912;N;N;11149
" ";" ";"Zdravstvena ponudba";42577;N;11708;12494;-;-;16511
" ";" ";"Dobropoèutna ponudba";42577;N;17167;8676;-;-;12357
" ";" ";"Ponudba lokalne gastronomije";42577;6871;29125;4426;-;-;N
" ";" ";"Možnosti za nakupovanje";42577;N;15310;19340;N;N;N
" ";" ";"Noèno življenje in zabava";42577;N;12896;17777;N;N;8912
" ";" ";"Možnosti za poèitek";42577;12385;27749;N;-;-;N
" ";" ";"Primerno za družine";42577;7525;25696;N;-;-;7894
" ";" ";"Ponudba kazinojev in igralnic";42577;N;N;7925;11281;-;16217
" ";" ";"Konferenèna ponudba";42577;N;9787;11352;-;-;20009
" ";" ";"Kakovost nastanitve";42577;10135;22415;8581;N;-;N
" ";" ";"Cenovna ugodnost ponudbe";42577;8418;22777;9713;N;-;N
" ";" ";"Sloves destinacije";42577;8884;21494;8669;N;-;N
" ";"Obmorske obèine"
" ";" ";"Osebna varnost";32476;8797;22460;N;-;-;N
" ";" ";"Dostopnost turistiènih informacij";32476;N;24420;4459;N;-;N
" ";" ";"Enostavnost dostopnosti destinacije";32476;N;24652;4160;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";32476;N;19987;5205;N;N;N
" ";" ";"Organizacija lokalnega prevoza";32476;N;13522;5509;N;N;8407
" ";" ";"Splošna èistoèa destinacije";32476;6770;20343;4920;-;-;N
" ";" ";"Neokrnjena narava";32476;6542;20171;5191;N;-;N
" ";" ";"Podnebne razmere";32476;6874;21192;3781;N;-;-
" ";" ";"Skrb za okolje";32476;5831;21851;4634;-;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";32476;9435;16532;4731;N;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";32476;N;19089;8811;-;-;N
" ";" ";"Ponudba kulturnih prireditev";32476;N;14075;9880;N;-;4521
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";32476;N;16862;8953;-;-;6166
" ";" ";"Ponudba športnih prireditev";32476;N;10035;9067;N;N;11004
" ";" ";"Zdravstvena ponudba";32476;N;8124;N;N;N;19332
" ";" ";"Dobropoèutna ponudba";32476;N;14739;3844;N;-;10243
" ";" ";"Ponudba lokalne gastronomije";32476;7053;17285;4881;N;-;N
" ";" ";"Možnosti za nakupovanje";32476;N;15832;9283;N;N;4292
" ";" ";"Noèno življenje in zabava";32476;N;13683;10910;N;N;5311
" ";" ";"Možnosti za poèitek";32476;5900;23948;N;-;-;N
" ";" ";"Primerno za družine";32476;N;18142;4932;-;-;7362
" ";" ";"Ponudba kazinojev in igralnic";32476;N;8183;N;N;N;20018
" ";" ";"Konferenèna ponudba";32476;N;3820;N;N;-;25616
" ";" ";"Kakovost nastanitve";32476;4771;22741;4350;N;-;N
" ";" ";"Cenovna ugodnost ponudbe";32476;N;23770;4601;N;-;-
" ";" ";"Sloves destinacije";32476;5308;21120;5618;-;-;N
" ";"Ljubljana"
" ";" ";"Osebna varnost";52167;32494;17478;N;-;-;N
" ";" ";"Dostopnost turistiènih informacij";52167;17503;24502;6116;N;-;2049
" ";" ";"Enostavnost dostopnosti destinacije";52167;18397;24766;5952;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";52167;11154;24455;10854;N;N;4646
" ";" ";"Organizacija lokalnega prevoza";52167;11107;18755;9042;N;N;11400
" ";" ";"Splošna èistoèa destinacije";52167;22917;24606;3276;-;-;N
" ";" ";"Neokrnjena narava";52167;24303;21801;3799;N;N;N
" ";" ";"Podnebne razmere";52167;11206;29819;8182;N;-;N
" ";" ";"Skrb za okolje";52167;16381;24107;7602;N;-;3389
" ";" ";"Prijaznost lokalnega prebivalstva";52167;23105;20138;5453;N;N;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";52167;16082;22907;6318;N;-;5627
" ";" ";"Ponudba kulturnih prireditev";52167;7102;22389;10030;N;-;10453
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";52167;3985;9189;8843;N;N;26764
" ";" ";"Ponudba športnih prireditev";52167;3839;6354;6684;N;N;30972
" ";" ";"Zdravstvena ponudba";52167;5053;6096;3221;N;N;33535
" ";" ";"Dobropoèutna ponudba";52167;3815;7426;5776;N;N;30852
" ";" ";"Ponudba lokalne gastronomije";52167;17185;23905;6766;N;-;4209
" ";" ";"Možnosti za nakupovanje";52167;9481;21483;15530;N;N;4508
" ";" ";"Noèno življenje in zabava";52167;4249;12456;12508;N;N;20016
" ";" ";"Možnosti za poèitek";52167;8063;24559;11690;N;N;6929
" ";" ";"Primerno za družine";52167;7022;16628;8036;N;-;19451
" ";" ";"Ponudba kazinojev in igralnic";52167;N;4630;6843;2290;N;34145
" ";" ";"Konferenèna ponudba";52167;3558;6598;N;N;N;37872
" ";" ";"Kakovost nastanitve";52167;17454;26744;6161;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";52167;13748;27023;8793;N;-;N
" ";" ";"Sloves destinacije";52167;21836;21882;6509;-;-;N
" ";"Mestne obèine in druge obèin"
" ";" ";"Osebna varnost";38706;27808;9900;-;-;N;N
" ";" ";"Dostopnost turistiènih informacij";38706;18808;14603;N;N;-;N
" ";" ";"Enostavnost dostopnosti destinacije";38706;16694;10921;8284;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";38706;12622;9191;9543;N;-;5444
" ";" ";"Organizacija lokalnega prevoza";38706;12475;10239;N;N;N;5071
" ";" ";"Splošna èistoèa destinacije";38706;17306;16336;N;N;-;N
" ";" ";"Neokrnjena narava";38706;16935;16301;N;-;-;N
" ";" ";"Podnebne razmere";38706;15394;17639;N;N;-;N
" ";" ";"Skrb za okolje";38706;13619;16833;N;N;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";38706;22414;11200;N;N;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";38706;6257;18502;8340;N;-;N
" ";" ";"Ponudba kulturnih prireditev";38706;7103;10159;11555;N;N;7550
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";38706;5460;10773;N;N;-;10885
" ";" ";"Ponudba športnih prireditev";38706;N;7283;7262;N;N;15521
" ";" ";"Zdravstvena ponudba";38706;N;N;6116;N;N;18417
" ";" ";"Dobropoèutna ponudba";38706;8027;N;N;N;N;16416
" ";" ";"Ponudba lokalne gastronomije";38706;12835;12258;6429;N;N;N
" ";" ";"Možnosti za nakupovanje";38706;6276;10531;8208;N;-;9772
" ";" ";"Noèno življenje in zabava";38706;N;N;8246;N;N;15937
" ";" ";"Možnosti za poèitek";38706;9548;17684;7232;N;N;N
" ";" ";"Primerno za družine";38706;8701;7334;9533;N;N;11006
" ";" ";"Ponudba kazinojev in igralnic";38706;N;N;N;N;-;19947
" ";" ";"Konferenèna ponudba";38706;N;N;N;N;-;20587
" ";" ";"Kakovost nastanitve";38706;14032;14899;8613;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";38706;15976;17172;N;N;N;N
" ";" ";"Sloves destinacije";38706;17807;13532;N;N;N;N

"Vir: Statistièni urad Republike Slovenije. "
"Nekateri seštevki se zaradi zaokroževanja ne ujemajo."

"Povezane vsebine:  "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7802 target=_blank) Metodološka pojasnila"

