"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Ponudba kazinojev in igralnic";208219;10044;20737;39202;14045;5185;119005
" ";" ";"Konferenèna ponudba";208219;3554;25290;28391;N;N;144019
" ";" ";"Kakovost nastanitve";208219;44135;107881;35594;N;N;16326
" ";" ";"Cenovna ugodnost ponudbe";208219;29278;108481;41572;3516;N;24914
" ";" ";"Sloves destinacije";208219;50876;114274;22270;N;N;19219
" ";"Obmorske obèine"
" ";" ";"Osebna varnost";98680;35761;55694;5189;N;N;N
" ";" ";"Dostopnost turistiènih informacij";98680;14896;61636;18521;N;N;N
" ";" ";"Enostavnost dostopnosti destinacije";98680;19821;53675;18306;2981;N;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";98680;8531;46252;22065;3036;N;17478
" ";" ";"Organizacija lokalnega prevoza";98680;8948;37850;18471;7059;N;25287
" ";" ";"Splošna èistoèa destinacije";98680;27428;53977;13486;2350;N;N
" ";" ";"Neokrnjena narava";98680;18712;58640;16417;N;N;N
" ";" ";"Podnebne razmere";98680;31713;55237;7104;N;N;N
" ";" ";"Skrb za okolje";98680;22148;54628;15228;3145;N;2655
" ";" ";"Prijaznost lokalnega prebivalstva";98680;31202;45852;15605;4064;N;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";98680;11275;49069;24962;3513;N;9540
" ";" ";"Ponudba kulturnih prireditev";98680;6423;41213;24716;7876;N;17498
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";98680;8697;41841;21800;4623;N;20906
" ";" ";"Ponudba športnih prireditev";98680;8232;31536;22628;7017;N;28340
" ";" ";"Zdravstvena ponudba";98680;6038;27507;11771;3745;N;48657
" ";" ";"Dobropoèutna ponudba";98680;10830;33631;15547;N;N;35922
" ";" ";"Ponudba lokalne gastronomije";98680;23389;50176;16277;5008;N;3063
" ";" ";"Možnosti za nakupovanje";98680;9672;36753;27042;5965;N;18720
