"Turistièna potovanja po: VRSTA TURISTIÈNEGA POTOVANJA, DESTINACIJA,"
"STAROST, LETO , MERITVE"

" ";" ";" ";" ";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèni izdatki na turista na prenoèitev (EUR)"
"Zasebna potovanja"
" ";"Slovenija"
" ";" ";"15-24"
" ";" ";" ";"2012";280;619;33.11
" ";" ";" ";"2013";302;821;31.17
" ";" ";" ";"2014";246;564;31.38
" ";" ";" ";"2015";134;404;35.96
" ";" ";" ";"2016";235;662;29.59
" ";" ";" ";"2017";232;548;27.07
" ";" ";"25-44"
" ";" ";" ";"2012";798;1981;31.53
" ";" ";" ";"2013";804;1938;34.60
" ";" ";" ";"2014";739;1788;39.12
" ";" ";" ";"2015";557;1430;31.84
" ";" ";" ";"2016";586;1491;35.26
" ";" ";" ";"2017";616;1443;37.21
" ";" ";"45-64"
" ";" ";" ";"2012";677;1829;36.71
" ";" ";" ";"2013";610;1617;35.54
" ";" ";" ";"2014";550;1531;36.63
" ";" ";" ";"2015";533;1516;38.87
" ";" ";" ";"2016";543;1662;39.11
" ";" ";" ";"2017";637;1832;40.68
" ";" ";"65 +"
" ";" ";" ";"2012";220;929;29.95
" ";" ";" ";"2013";207;768;34.20
" ";" ";" ";"2014";261;835;33.18
" ";" ";" ";"2015";230;957;33.81
" ";" ";" ";"2016";255;1019;34.21
" ";" ";" ";"2017";235;878;41.46
" ";"Tujina"
" ";" ";"15-24"
" ";" ";" ";"2012";421;2357;51.09
" ";" ";" ";"2013";415;1949;45.08
" ";" ";" ";"2014";338;1943;47.92
" ";" ";" ";"2015";410;2367;44.57
" ";" ";" ";"2016";358;2227;47.73
" ";" ";" ";"2017";420;2336;47.44
" ";" ";"25-44"
" ";" ";" ";"2012";855;5062;49.75
" ";" ";" ";"2013";954;5334;49.20
" ";" ";" ";"2014";954;4658;49.76
" ";" ";" ";"2015";999;5763;46.49
" ";" ";" ";"2016";1029;6169;47.72
" ";" ";" ";"2017";1090;5960;51.01
" ";" ";"45-64"
" ";" ";" ";"2012";688;3932;47.07
" ";" ";" ";"2013";782;4248;49.97
" ";" ";" ";"2014";811;4596;48.21
" ";" ";" ";"2015";859;5172;49.51
" ";" ";" ";"2016";835;4812;47.29
" ";" ";" ";"2017";850;4585;50.87
" ";" ";"65 +"
" ";" ";" ";"2012";116;809;41.49
" ";" ";" ";"2013";143;878;35.55
" ";" ";" ";"2014";147;1083;44.50
" ";" ";" ";"2015";161;1276;37.13
" ";" ";" ";"2016";215;1663;37.93
" ";" ";" ";"2017";207;1504;35.18
"Poslovna potovanja"
" ";"Slovenija"
" ";" ";"15-24"
" ";" ";" ";"2012";N;N;N
" ";" ";" ";"2013";N;N;N
" ";" ";" ";"2014";N;N;N
" ";" ";" ";"2015";N;N;N
" ";" ";" ";"2016";N;N;N
" ";" ";" ";"2017";N;N;N
" ";" ";"25-44"
" ";" ";" ";"2012";46 M;88 M;119.27 M
" ";" ";" ";"2013";52 M;103 M;118.10 M
" ";" ";" ";"2014";55 M;101 M;153.56 M
" ";" ";" ";"2015";44 M;112 M;96.80 M
" ";" ";" ";"2016";59 M;111 M;132.92 M
" ";" ";" ";"2017";55 M;91 M;141.43 M
" ";" ";"45-64"
" ";" ";" ";"2012";28 M;54 M;118.15 M
" ";" ";" ";"2013";36 M;65 M;78.29 M
" ";" ";" ";"2014";24 M;37 M;121.90 M
" ";" ";" ";"2015";26 M;53 M;84.00 M
" ";" ";" ";"2016";36 M;62 M;120.78 M
" ";" ";" ";"2017";25 M;58 M;137.06 M
" ";" ";"65 +"
" ";" ";" ";"2012";N;N;N
" ";" ";" ";"2013";N;N;N
" ";" ";" ";"2014";-;-;-
" ";" ";" ";"2015";-;-;-
" ";" ";" ";"2016";-;-;-
" ";" ";" ";"2017";N;N;N
" ";"Tujina"
" ";" ";"15-24"
" ";" ";" ";"2012";51 M;217 M;127.65 M
" ";" ";" ";"2013";37 M;190 M;111.66 M
" ";" ";" ";"2014";28 M;66 M;124.33 M
" ";" ";" ";"2015";29 M;156 M;154.34 M
" ";" ";" ";"2016";33 M;120 M;124.77 M
" ";" ";" ";"2017";44 M;170 M;159.90 M
" ";" ";"25-44"
" ";" ";" ";"2012";221;817;183.90
" ";" ";" ";"2013";187;867;159.50
" ";" ";" ";"2014";255;1007;174.28
" ";" ";" ";"2015";266;1005;164.70
" ";" ";" ";"2016";251;800;197.32
" ";" ";" ";"2017";283;788;212.55
" ";" ";"45-64"
" ";" ";" ";"2012";117;342;205.32
" ";" ";" ";"2013";88 M;327 M;158.00
" ";" ";" ";"2014";106;319;196.30
" ";" ";" ";"2015";142 M;427 M;194.89
" ";" ";" ";"2016";130 M;519 M;175.60
" ";" ";" ";"2017";113 M;350 M;237.46
" ";" ";"65 +"
" ";" ";" ";"2012";N;N;N
" ";" ";" ";"2013";N;N;N
" ";" ";" ";"2014";N;N;N
" ";" ";" ";"2015";N;N;N
" ";" ";" ";"2016";N;N;N
" ";" ";" ";"2017";N;N;N

"Vir: Statistièni urad Republike Slovenije "
" "
"Podatki so ocene, pridobljene z anketo, na vzorcu, ki predstavlja "
"celotno populacijo prebivalcev Slovenije, starih 15 let ali veè. "
" "

"Povezane vsebine: "
" "
"- (seznam "
"HREF=http://www.stat.si/statweb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8262 target=_blank) Metodološka pojasnila "

"Seštevki se zaradi zaokroževanja vedno ne ujemajo."

"Seštevki se zaradi zaokroževanja vedno ne ujemajo."

